"","CPHI.Adjusted"
"584",0.041672696400568
"585",-0.0206192872027356
"586",0
"587",-0.0210534091978324
"588",0
"589",-0.0434851119397388
"590",0.0434851119397388
"591",0
"592",0.041672696400568
"593",-0.0206192872027356
"594",-0.0210534091978324
"595",-0.0215062052209635
"596",0.0425596144187959
"597",-0.0645385211375712
"598",-0.0224728558520586
"599",0.0224728558520586
"600",0.0645385211375712
"601",-0.0645385211375712
"602",0.0219789067187753
"603",0
"604",-0.0444517625708339
"605",0.0659579677917974
"606",-0.0434851119397388
"607",0
"608",0
"609",-0.0224728558520586
"610",0
"611",-0.0229895182246987
"612",0.0454623740767574
"613",0.182321556793955
"614",-0.037740327982847
"615",-0.0392207131532814
"616",0.0198026272961797
"617",0.242561637171311
"618",-0.113944259349218
"619",-0.0173917427118692
"620",0.131336002061087
"621",-0.0800427076735365
"622",0.048790164169432
"623",0
"624",-0.0160003413464411
"625",0.135545491996224
"626",-0.0882926071456782
"627",0.0597192347016222
"628",-0.0294138852062932
"629",-0.0775582343458746
"630",-0.0327898228229909
"631",-0.0339015516756814
"632",0
"633",-0.0173917427118692
"634",0.0173917427118692
"635",-0.0714589639821448
"636",-0.0571584138399487
"637",-0.0400053346136992
"638",0.115512887121844
"639",0.0180185055026784
"640",0.0350913198112699
"641",-0.0350913198112699
"642",0.0176995770994007
"643",0.0173917427118692
"644",-0.0531098253139483
"645",-0.0370412716803491
"646",0.0370412716803491
"647",-0.0560894666510435
"648",-0.0194180858571017
"649",0
"650",-0.0606246218164348
"651",0.0408219945202551
"652",-0.0202027073175195
"653",0.0202027073175195
"654",0.0392207131532814
"655",-0.0392207131532814
"656",0
"657",0.0769610411361283
"658",-0.0571584138399487
"659",-0.0198026272961797
"660",0
"661",-0.0408219945202551
"662",-0.0210534091978324
"663",0
"664",-0.0434851119397388
"665",-0.0454623740767574
"666",-0.0235304974101941
"667",-0.0240975515790606
"668",-0.0246926125903714
"669",0.0246926125903714
"670",-0.0246926125903714
"671",-0.02531780798429
"672",-0.0800427076735365
"673",-0.0870113769896297
"674",0.0870113769896297
"675",0
"676",0
"677",0
"678",-0.0571584138399484
"679",0.028987536873252
"680",0.0281708769666964
"681",0
"682",0.0273989741881145
"683",0
"684",0
"685",0
"686",0
"687",0
"688",0
"689",0.0266682470821613
"690",0
"691",-0.0266682470821613
"692",-0.0273989741881145
"693",0
"694",0.0273989741881145
"695",0.0266682470821613
"696",0
"697",-0.0266682470821613
"698",0.0266682470821613
"699",0.0259754864032606
"700",0.0500104205746613
"701",0.0240975515790606
"702",0
"703",0
"704",-0.0487901641694319
"705",0.0246926125903714
"706",0.115069329784787
"707",0.083381608939051
"708",-0.105360515657826
"709",0.0219789067187753
"710",-0.0444517625708339
