trading_date,close,ret
2005/6/8,905.773,0.078627791
2005/6/9,912.604,0.007513329
2005/6/10,894.556,-0.019974546
2005/6/13,892.959,-0.001786839
2005/6/14,883.537,-0.010607497
2005/6/15,866.834,-0.019085676
2005/6/16,879.237,0.014206992
2005/6/17,880.345,0.00125939
2005/6/20,906.255,0.029006847
2005/6/21,896.166,-0.01119506
2005/6/22,900.646,0.00498662
2005/6/23,893.572,-0.00788537
2005/6/24,898.301,0.005278288
2005/6/27,916.043,0.019558105
2005/6/28,903.716,-0.013548155
2005/6/29,898.898,-0.005345583
2005/6/30,878.686,-0.022741959
2005/7/1,859.494,-0.022083766
2005/7/4,855.932,-0.00415291
2005/7/5,849.679,-0.007332303
2005/7/6,842.556,-0.008418502
2005/7/7,844.729,0.002575737
2005/7/8,829.489,-0.018206017
2005/7/11,824.097,-0.006521607
2005/7/12,851.816,0.0330823
2005/7/13,846.231,-0.006578169
2005/7/14,849.59,0.003961508
2005/7/15,841.001,-0.010161031
2005/7/18,832.995,-0.009565209
2005/7/19,835.608,0.003131964
2005/7/20,842.641,0.008381404
2005/7/21,843.987,0.001596084
2005/7/22,859.693,0.018438257
2005/7/25,856.86,-0.003300804
2005/7/26,876.48,0.022639341
2005/7/27,894.012,0.019805312
2005/7/28,890.885,-0.003503847
2005/7/29,888.164,-0.00305894
2005/8/1,891.607,0.003869042
2005/8/2,903.598,0.013359119
2005/8/3,909.57,0.006587389
2005/8/4,904.15,-0.005976685
2005/8/5,923.803,0.02150357
2005/8/8,927.471,0.003962682
2005/8/9,933.089,0.00603906
2005/8/10,940.37,0.007772827
2005/8/11,953.992,0.014381871
2005/8/12,938.316,-0.016568506
2005/8/15,954.502,0.017102959
2005/8/16,945.058,-0.009943437
2005/8/17,953.012,0.008381194
2005/8/18,920.671,-0.034524743
2005/8/19,923.038,0.002567652
2005/8/22,931.673,0.009311491
2005/8/23,923.414,-0.008904223
2005/8/24,930.651,0.00780667
2005/8/25,930.118,-0.000572881
2005/8/26,928.258,-0.002001748
2005/8/29,917.371,-0.011797741
2005/8/30,914.88,-0.002719061
2005/8/31,927.916,0.014148302
2005/9/1,944.559,0.01777694
2005/9/2,947.871,0.003500265
2005/9/5,952.717,0.005099486
2005/9/6,936.61,-0.017050929
2005/9/7,952.758,0.017093963
2005/9/8,955.282,0.002645648
2005/9/9,949.065,-0.006529295
2005/9/12,949.506,0.00046456
2005/9/13,963.774,0.014914978
2005/9/14,970.193,0.006638193
2005/9/15,969.598,-0.000613468
2005/9/16,967.495,-0.002171296
2005/9/19,971.136,0.003756263
2005/9/20,961.919,-0.009536273
2005/9/21,944.408,-0.018371971
2005/9/22,923.274,-0.022632228
2005/9/23,916.154,-0.007741576
2005/9/26,918.485,0.002541101
2005/9/27,904.214,-0.015659516
2005/9/28,903.719,-0.000547587
2005/9/29,915.975,0.0134706
2005/9/30,917.392,0.00154579
2005/10/10,907.321,-0.01103856
2005/10/11,919.72,0.013572974
2005/10/12,923.485,0.004085281
2005/10/13,916.499,-0.007593581
2005/10/14,904.828,-0.012816106
2005/10/17,897.623,-0.007994712
2005/10/18,902.366,0.005270044
2005/10/19,898.744,-0.00402197
2005/10/20,899.915,0.001302081
2005/10/21,904.414,0.004986906
2005/10/24,906.652,0.002471474
2005/10/25,894.272,-0.013748715
2005/10/26,875.82,-0.020849389
2005/10/27,875.849,3.31E-05
2005/10/28,867.729,-0.009314248
2005/10/31,876.282,0.009808503
2005/11/1,872.865,-0.003907052
2005/11/2,882.478,0.010952955
2005/11/3,874.575,-0.008995805
2005/11/4,878.361,0.004319617
2005/11/7,877.278,-0.001233739
2005/11/8,881.524,0.004828296
2005/11/9,879.252,-0.002580682
2005/11/10,862.968,-0.018693936
2005/11/11,864.79,0.002109092
2005/11/14,862.149,-0.003058593
2005/11/15,856.635,-0.006416186
2005/11/16,863.119,0.007540649
2005/11/17,862.658,-0.000534252
2005/11/18,882.241,0.022446941
2005/11/21,883.871,0.001845863
2005/11/22,869.617,-0.01625824
2005/11/23,876.229,0.007574587
2005/11/24,881.493,0.005989588
2005/11/25,884.105,0.002958773
2005/11/28,880.167,-0.004464172
2005/11/29,871.31,-0.010113836
2005/11/30,873.825,0.0028823
2005/12/1,873.067,-0.000867827
2005/12/2,869.936,-0.003592654
2005/12/5,859.61,-0.011940848
2005/12/6,866.075,0.007492712
2005/12/7,873.838,0.008923494
2005/12/8,874.056,0.000249443
2005/12/9,887.358,0.015104062
2005/12/12,888.518,0.001306398
