"","CPHI.Open","CPHI.High","CPHI.Low","CPHI.Close","CPHI.Volume","CPHI.Adjusted"
"1450",0.35,0.38,0.35,0.38,95200,0.38
"1451",0.36,0.38,0.36,0.38,79500,0.38
"1452",0.38,0.38,0.36,0.37,108100,0.37
"1453",0.36,0.4,0.36,0.38,298100,0.38
"1454",0.37,0.39,0.37,0.39,84000,0.39
"1455",0.39,0.41,0.39,0.41,373700,0.41
"1456",0.41,0.43,0.41,0.42,242700,0.42
"1457",0.42,0.44,0.41,0.42,251900,0.42
"1458",0.43,0.43,0.41,0.42,160500,0.42
"1459",0.42,0.43,0.4,0.4,108000,0.4
"1460",0.42,0.44,0.38,0.41,830600,0.41
"1461",0.42,0.48,0.41,0.46,2750200,0.46
"1462",0.55,0.56,0.47,0.5,3741900,0.5
"1463",0.49,0.49,0.43,0.45,1256500,0.45
"1464",0.48,0.48,0.44,0.46,446200,0.46
"1465",0.44,0.47,0.42,0.44,386300,0.44
"1466",0.44,0.45,0.42,0.43,271200,0.43
"1467",0.42,0.43,0.41,0.41,333700,0.41
"1468",0.42,0.43,0.4,0.41,265600,0.41
"1469",0.41,0.41,0.38,0.39,177300,0.39
"1470",0.38,0.4,0.38,0.39,131800,0.39
"1471",0.39,0.41,0.38,0.4,176900,0.4
"1472",0.37,0.4,0.37,0.39,151900,0.39
"1473",0.38,0.41,0.38,0.39,321400,0.39
"1474",0.37,0.4,0.37,0.39,224600,0.39
"1475",0.4,0.41,0.39,0.39,251500,0.39
"1476",0.41,0.42,0.39,0.41,290900,0.41
"1477",0.42,0.42,0.4,0.41,167500,0.41
"1478",0.41,0.42,0.39,0.41,215400,0.41
"1479",0.39,0.41,0.39,0.4,93900,0.4
"1480",0.4,0.41,0.39,0.4,223200,0.4
"1481",0.38,0.43,0.38,0.41,262400,0.41
"1482",0.41,0.43,0.4,0.42,132600,0.42
"1483",0.43,0.43,0.4,0.42,298100,0.42
"1484",0.42,0.43,0.4,0.42,239800,0.42
"1485",0.42,0.44,0.41,0.43,327300,0.43
"1486",0.42,0.6,0.4,0.55,3598200,0.55
"1487",0.53,0.56,0.46,0.49,1587500,0.49
"1488",0.49,0.49,0.46,0.47,490400,0.47
"1489",0.47,0.47,0.42,0.43,982700,0.43
"1490",0.45,0.54,0.43,0.53,2464400,0.53
