"","hhid","prov","male","age","edu","marriage","edu_par","risk_aver","risk_p","rate_p","inf_p","risk_div","knowledge","finnews","house","project","stock","fund","bond","finmag","deriv","gold","nonrmb","fin_asset","risk_asset","risk_asset_per","stock_per","fin_market","stock_v","bond_v","fund_v","finmag_v","deriv_v","gold_v","nonrmb_v","cash","save","deposit","total_income","rural","industry","pension","busi_pe"
"29","2017000617","江苏省",1,82,7,2,0,5,1,NA,NA,1,2,2,0,0,0,0,0,0,0,0,0,132792,0,0,0,0,0,0,0,0,0,0,0,0,0,132792,12.396659430195,0,NA,1,0
"30","201102897","江苏省",1,70,2,2,0,5,NA,0,0,NA,0,2,0,0,0,0,0,0,0,0,0,10400,0,0,0,0,0,0,0,0,0,0,0,400,0,10000,8.81729778386658,0,NA,0,0
"31","2015014263","浙江省",1,59,3,2,0,5,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,10.5976092580923,1,NA,0,0
"32","2015014733","浙江省",1,65,2,2,0,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,48922,0,0,0,0,0,0,0,0,0,0,0,14313,34609,0,9.95575408899025,1,NA,1,0
"33","2015010508","上海市",1,75,7,2,0,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,12.101267531164,0,NA,1,0
"34","2015010557","上海市",0,24,7,1,0,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,11.7035458245789,0,18,1,0
"35","2017000782","浙江省",1,74,2,2,0,5,1,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,150,0,0,9.21830854162536,1,NA,1,0
"36","2015012343","江苏省",1,75,2,2,0,5,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,33359,0,0,0,0,0,0,0,0,0,0,0,30000,3359,0,9.64806328136865,0,NA,1,0
"37","201103529","浙江省",1,59,2,2,0,6,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,102000,0,0,0,0,0,0,0,0,0,0,0,2000,1e+05,0,10.1326131755279,1,NA,1,0
"38","201102513","上海市",1,68,2,2,0,5,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,102500,0,0,0,0,0,0,0,0,0,0,0,2500,1e+05,0,11.9559560709645,0,19,1,1
"39","201103611","浙江省",1,46,6,2,0,2,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,10.7146510748678,0,4,1,0
"40","2017000882","江苏省",1,40,5,2,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,12.231209062064,0,NA,0,0
"41","2015014137","浙江省",1,35,7,2,0,3,1,1,1,1,4,3,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,1000,4000,15000,11.6194363187354,0,3,1,0
"42","2017000973","上海市",1,36,7,2,6,3,1,NA,NA,1,2,3,0,0,1,1,0,1,0,0,0,210000,170000,0.80952380952381,0.823529411764706,1,140000,0,20000,10000,0,0,0,20000,20000,0,12.0104834617353,0,5,1,0
"43","2015011861","江苏省",1,83,7,2,0,5,0,1,0,NA,1,1,0,0,NA,NA,0,NA,0,0,0,1514,0,0,0,NA,0,0,0,0,0,0,0,1514,0,0,12.1007121298723,0,NA,1,0
"44","2015012399","江苏省",1,69,1,6,0,2,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,300,0,0,11.9415209904672,1,NA,1,0
"45","2017001148","江苏省",0,49,6,1,6,3,1,NA,NA,1,2,2,0,0,1,0,0,1,0,0,0,3e+05,250000,0.833333333333333,0.8,1,2e+05,0,0,50000,0,0,0,0,50000,0,11.2730807219326,0,6,1,0
"46","2017001171","浙江省",0,47,7,2,6,1,1,NA,NA,1,2,4,0,0,1,1,0,1,0,0,0,2955000,2355000,0.796954314720812,0.0233545647558386,1,55000,0,1300000,1e+06,0,0,0,3e+05,3e+05,0,13.7967843111627,0,10,1,1
"47","2017001194","江苏省",1,73,3,2,0,5,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,60500,0,0,0,0,0,0,0,0,0,0,0,500,60000,0,11.0920319487048,0,NA,1,0
"48","201103455","浙江省",1,28,5,2,0,5,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,2000,5000,0,11.5333896381026,1,19,0,0
"49","2017001196","上海市",1,61,4,2,0,6,1,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,60774,0,0,0,0,0,0,0,0,0,0,0,1500,59274,0,11.7738075618583,1,NA,1,0
"50","2015012646","江苏省",1,68,4,2,0,5,1,1,0,NA,2,0,0,0,0,0,0,0,0,0,0,33084,0,0,0,0,0,0,0,0,0,0,0,1048,0,32036,10.608181290848,0,NA,1,0
"51","2013011640","浙江省",1,44,3,2,0,5,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,460,0,0,9.17688699571696,1,NA,1,0
"52","2013008188","上海市",1,36,7,2,0,3,1,0,1,0,2,4,0,0,1,0,0,0,0,0,0,43000,23000,0.534883720930233,1,1,23000,0,0,0,0,0,0,0,20000,0,11.9982486483238,0,7777,1,1
"53","2017001321","浙江省",1,38,3,2,2,5,1,NA,NA,1,2,1,1,0,0,0,0,0,0,0,0,100134,0,0,0,0,0,0,0,0,0,0,0,2500,87634,10000,10.3342538278651,0,NA,1,1
"54","2013009802","江苏省",1,65,2,2,0,4,1,1,0,1,3,2,0,0,0,0,0,1,0,0,0,305000,1e+05,0.327868852459016,0,1,0,0,0,1e+05,0,0,0,5000,1e+05,1e+05,12.1240488100516,0,5,1,0
"55","2015012355","江苏省",1,59,4,2,0,6,1,NA,0,1,2,1,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,600,0,0,9.03598698483141,0,NA,0,0
"56","2017001408","浙江省",0,37,2,2,1,5,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,1000,2500,0,8.51894166195035,0,15,1,0
"57","2017001448","浙江省",1,58,2,2,1,5,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10.4526494464678,0,NA,1,0
"58","201102496","上海市",1,52,3,2,0,4,1,1,0,1,3,1,0,0,1,0,0,0,0,0,0,73706,0,0,0,1,0,0,0,0,0,0,0,5000,7000,61706,11.5884975210798,0,7,1,0
"59","2013011365","浙江省",1,69,2,2,0,5,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,1000,10000,0,11.4295982023805,0,NA,1,0
"60","2015010402","上海市",1,95,7,2,0,5,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,885000,0,0,0,0,0,0,0,0,0,0,0,25000,60000,8e+05,11.7953939703691,0,NA,1,0
"61","2015013840","浙江省",1,51,4,2,0,4,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,80093,30000,0.374564568688899,0,1,0,0,0,30000,0,0,0,5000,5093,40000,10.7973245601224,0,NA,1,0
"62","2013009458","江苏省",0,76,7,2,0,4,1,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1005000,5e+05,0.497512437810945,0,1,0,0,0,5e+05,0,0,0,5000,5e+05,0,12.49780898831,0,NA,1,0
"63","2013009658","江苏省",1,70,3,2,0,5,1,0,0,NA,1,2,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,11.0914834023389,0,NA,1,0
"64","2015014645","浙江省",1,64,3,2,0,3,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,333163,0,0,0,0,0,0,0,0,0,0,0,6612,1143,325408,10.9968380404079,0,NA,1,0
"65","2013009763","江苏省",1,44,4,2,0,5,1,1,0,1,3,1,0,0,1,1,0,1,0,0,0,388526,88526,0.22785090315706,0.740189322910783,1,65526,0,3000,20000,0,0,0,50000,50000,2e+05,12.2370139867697,0,6,1,0
"66","2017001588","浙江省",1,53,3,5,2,2,1,NA,NA,0,1,2,0,0,0,1,1,0,0,0,0,471595,218507,0.463336125276986,0,1,0,58507,160000,0,0,0,0,2000,230000,21088,11.3012326074177,0,NA,1,0
"67","201103691","浙江省",0,65,5,6,0,4,NA,1,0,NA,1,3,0,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,10000,15000,50000,11.1816745733717,1,NA,1,0
"68","2015012854","江苏省",1,76,2,2,0,5,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,10.1306231251199,0,NA,1,0
"69","2017001638","江苏省",1,68,2,2,0,6,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,11.7336661316681,1,NA,1,0
"70","2017001686","江苏省",1,39,4,2,2,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,10.697836613605,0,1,1,0
"71","201103503","浙江省",1,45,2,2,0,4,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,5750,0,0,0,0,0,0,0,0,0,0,0,750,5000,0,10.7743100963631,1,5,0,0
"72","2015012832","江苏省",1,60,3,5,0,5,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,80,0,0,8.92532141694389,0,NA,1,0
"73","2017001887","浙江省",1,52,2,2,3,5,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,0,0,10.7820764172263,0,3,0,0
"74","2015012133","江苏省",1,30,5,2,0,4,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,20200,0,0,0,0,0,0,0,0,0,0,0,200,20000,0,10.0243768698116,0,3,1,0
"75","2015015160","浙江省",1,60,2,2,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2e+05,1e+05,0.5,1,1,1e+05,0,0,0,0,0,0,50000,50000,0,8.06306291132679,1,NA,0,0
"76","2015014159","浙江省",0,81,3,6,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,10.6430411059102,0,NA,1,0
"77","2013011642","浙江省",1,50,2,2,0,6,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,0,0,10.4997382958504,1,NA,1,0
"78","201102552","上海市",1,56,4,2,0,4,1,1,0,1,3,4,0,0,1,0,0,0,0,0,0,1911043,0,0,0,1,0,0,0,0,0,0,0,10000,175569,1725474,12.5177016639125,0,19,1,0
"79","2017001991","浙江省",1,25,7,1,4,1,1,NA,NA,1,2,2,0,0,0,0,0,0,0,0,0,20200,0,0,0,0,0,0,0,0,0,0,0,200,10000,10000,10.576049299487,0,19,1,0
"80","2017001992","上海市",1,68,4,2,0,4,0,NA,NA,1,1,3,0,0,1,0,0,0,0,0,0,2000,0,0,0,1,0,0,0,0,0,0,0,2000,0,0,11.3095845409522,0,NA,1,0
"81","201102776","江苏省",1,43,3,2,0,5,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,82000,0,0,0,0,0,0,0,0,0,0,0,2000,80000,0,11.0971069447826,0,NA,0,0
"82","2017002011","江苏省",1,65,3,2,0,5,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,0,2000,10000,40000,9.59110286744398,1,NA,1,1
"83","2015011703","上海市",1,41,5,2,0,4,NA,1,0,NA,1,1,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,11.1034523354645,0,19,1,0
"84","201102606","上海市",1,44,3,2,0,3,1,1,1,0,3,2,0,0,1,0,0,1,0,0,0,650000,4e+05,0.615384615384615,0.625,1,250000,0,0,150000,0,0,0,50000,50000,150000,11.8860119990144,0,NA,1,0
"85","2017002080","上海市",1,53,4,2,2,3,1,NA,NA,1,2,0,0,0,1,1,0,0,0,0,0,317979,117979,0.371027646479799,0.773018927097195,1,91200,0,26779,0,0,0,0,50000,1e+05,50000,11.6510077366184,0,15,1,0
"86","2017002102","江苏省",1,70,2,2,0,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,9.61592213994599,1,NA,0,0
"87","201102576","上海市",0,43,3,2,0,5,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,171000,0,0,0,0,0,0,0,0,0,0,0,1000,20000,150000,11.6519915130932,0,19,1,0
"88","2017002154","江苏省",0,64,1,2,0,5,1,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,444,0,0,11.3718226239922,0,NA,1,0
"89","2015014679","浙江省",1,56,4,2,0,5,1,0,1,1,3,2,0,1,0,0,0,0,0,0,0,11136,0,0,0,0,0,0,0,0,0,0,0,4136,7000,0,12.3371469595078,0,NA,1,0
"90","2017002160","上海市",1,56,4,2,1,3,1,NA,NA,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.6439537273766,0,7,1,0
"91","2017002183","浙江省",0,81,1,6,0,6,1,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,10.5558127385758,0,NA,1,0
"92","201103536","浙江省",1,54,3,2,0,5,1,0,1,NA,2,0,0,1,0,0,0,0,0,0,0,5500,0,0,0,0,0,0,0,0,0,0,0,500,5000,0,9.27223477551377,1,NA,0,0
"93","2017002217","上海市",1,66,3,2,0,5,1,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,240000,0,0,0,1,0,0,0,0,0,0,0,20000,20000,2e+05,11.8223934907439,0,NA,1,0
"94","2015012109","江苏省",0,74,1,6,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9.65502619323763,0,NA,1,0
"95","2017002235","上海市",0,44,4,2,0,3,1,NA,NA,1,2,2,0,0,0,0,0,1,0,0,0,860000,50000,0.0581395348837209,0,1,0,0,0,50000,0,0,0,10000,5e+05,3e+05,12.6954039118311,0,15,1,0
"96","2013009434","江苏省",1,85,6,6,0,3,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,57000,35000,0.614035087719298,1,1,35000,0,0,0,0,0,0,15000,7000,0,10.9008881148135,0,NA,1,0
"97","2015012296","江苏省",1,68,3,2,0,5,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,11.7382586173574,0,NA,1,0
"98","2015010729","上海市",1,75,4,2,0,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,490000,0,0,0,0,0,0,0,0,0,0,0,40000,3e+05,150000,11.5926604329891,0,NA,1,0
"99","2017002256","浙江省",1,51,3,2,2,3,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,0,0,1500,8000,0,11.3808102120036,0,10,1,0
"100","2015013670","浙江省",1,61,3,2,0,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,6000,8000,0,12.1055669925985,0,NA,1,0
"101","2013011120","浙江省",1,71,2,2,0,5,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,1000,0,10000,10.5009494829617,0,NA,1,0
"102","2015013856","浙江省",1,72,2,2,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,20000,1000,0,11.8409081960703,0,15,0,1
"103","2017002278","上海市",1,80,1,2,0,5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,2000,0,30000,11.3439149222359,0,NA,1,0
"104","2013009110","上海市",1,32,6,2,0,3,1,1,0,1,3,2,0,1,1,0,0,0,0,0,0,1e+05,0,0,0,1,0,0,0,0,0,0,0,1e+05,0,0,14.5809784001038,0,NA,1,0
"105","2017002321","江苏省",1,53,3,2,2,3,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,9283,0,0,0,0,0,0,0,0,0,0,0,800,8483,0,11.7084979022811,1,5,1,0
"106","2017002327","上海市",1,35,8,2,0,2,1,NA,NA,1,2,2,0,0,0,0,0,1,0,0,0,2005000,1e+06,0.498753117206983,0,1,0,0,0,1e+06,0,0,0,5000,0,1e+06,13.2111065872387,0,17,1,0
"107","2017002336","上海市",1,40,8,2,3,3,1,NA,NA,1,2,2,0,0,1,1,0,0,0,0,0,392000,380000,0.969387755102041,0.473684210526316,1,180000,0,2e+05,0,0,0,0,2000,10000,0,13.1284150291661,0,9,1,0
"108","2015014590","浙江省",1,52,2,2,0,3,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,550000,0,0,0,0,0,0,0,0,0,0,0,250000,250000,50000,12.2459998398361,0,NA,1,0
"109","2017002503","江苏省",1,52,4,2,5,3,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,40000,40000,0,11.2588200025174,0,7777,1,0
"110","2017002579","上海市",0,77,5,6,0,5,1,NA,NA,0,1,4,0,0,1,0,0,1,0,0,0,207118,135000,0.65180235421354,0.62962962962963,1,85000,0,0,50000,0,0,0,2118,50000,20000,10.8888378203418,0,NA,1,0
"111","2013011169","浙江省",0,39,3,5,0,5,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,255000,0,0,0,0,0,0,0,0,0,0,0,5000,150000,1e+05,11.5905807095358,0,NA,0,0
"112","2015013826","浙江省",1,52,4,2,0,4,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,35722,0,0,0,0,0,0,0,0,0,0,0,15722,20000,0,11.7141914377651,0,NA,1,0
"113","2017002615","浙江省",1,43,3,2,0,3,1,NA,NA,1,2,0,1,0,0,0,0,0,0,0,0,64884,0,0,0,0,0,0,0,0,0,0,0,10000,54884,0,10.8075456448208,0,NA,1,0
"114","2013011111","浙江省",0,71,2,6,0,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,2000,10000,0,11.6227928096004,0,6,1,0
"115","2015012838","江苏省",1,54,4,2,0,6,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,10000,20000,50000,11.4068313469587,0,NA,0,1
"116","2017002639","浙江省",1,54,3,2,3,6,1,NA,NA,0,1,1,0,1,0,1,0,1,0,0,0,750000,130000,0.173333333333333,0,1,0,0,30000,1e+05,0,0,0,20000,5e+05,1e+05,13.0299410238131,0,NA,1,0
"117","2015012165","江苏省",1,85,2,2,0,5,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,188200,0,0,0,0,0,0,0,0,0,0,0,3000,5200,180000,11.3977188925364,0,NA,1,0
"118","2017002657","上海市",1,67,2,2,0,5,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,71015,0,0,0,0,0,0,0,0,0,0,0,0,0,71015,11.3549869301655,1,NA,1,0
"119","2013011099","浙江省",1,61,2,2,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,40951,0,0,0,0,0,0,0,0,0,0,0,1500,39451,0,12.2535337274562,0,7,1,0
"120","2017002720","上海市",0,61,5,5,0,5,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,5000,20000,0,11.3262343756583,0,15,1,0
"121","2013008968","上海市",1,62,4,2,0,4,1,1,1,1,4,2,0,0,1,0,0,0,0,0,0,101000,0,0,0,1,0,0,0,0,0,0,0,1000,50000,50000,12.5300565117705,0,6,1,0
"122","2013009414","江苏省",1,54,4,2,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11518,0,0,0,0,0,0,0,0,0,0,0,1518,10000,0,10.186219895262,0,NA,1,0
"123","2013008877","上海市",1,71,6,2,0,5,NA,1,1,NA,2,2,0,0,0,0,0,0,0,0,0,32021,0,0,0,0,0,0,0,0,0,0,0,1000,31021,0,11.7680061773076,0,NA,1,0
"124","2013009378","江苏省",0,64,5,2,0,2,1,0,0,1,2,2,0,0,0,0,0,1,0,0,0,4030000,2e+06,0.496277915632754,0,1,0,0,0,2e+06,0,0,0,10000,20000,2e+06,12.658233662894,0,NA,1,1
"125","2017002827","上海市",1,29,8,2,7,1,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,1256,256,0,11.7752966404715,0,11,1,0
"126","2015013912","浙江省",1,50,3,2,0,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2508,0,0,0,0,0,0,0,0,0,0,0,80,2428,0,9.21118981578412,0,5,0,0
