trading_date,close,ret
2005/6/8,841.36,0.075925731
2005/6/9,849.725,0.009893138
2005/6/10,831.605,-0.021555199
2005/6/13,834.252,0.003177947
2005/6/14,818.191,-0.019439709
2005/6/15,796.26,-0.02717004
2005/6/16,803.945,0.009605093
2005/6/17,800.137,-0.004747896
2005/6/20,823.733,0.029063485
2005/6/21,816.197,-0.009190701
2005/6/22,818.647,0.00299723
2005/6/23,809.347,-0.011425228
2005/6/24,813.203,0.004753021
2005/6/27,834.346,0.025667414
2005/6/28,819.046,-0.018507936
2005/6/29,814.064,-0.006101261
2005/6/30,791.502,-0.028106581
2005/7/1,760.352,-0.040150922
2005/7/4,749.483,-0.014397848
2005/7/5,744.595,-0.006543189
2005/7/6,743.444,-0.001547003
2005/7/7,747.418,0.005331157
2005/7/8,722.854,-0.033417335
2005/7/11,714.475,-0.011659258
2005/7/12,739.534,0.034472251
2005/7/13,732.443,-0.009634736
2005/7/14,732.544,0.000137885
2005/7/15,714.488,-0.024957205
2005/7/18,696.848,-0.024998893
2005/7/19,703.066,0.008883461
2005/7/20,707.293,0.005994236
2005/7/21,704.788,-0.003547959
2005/7/22,721.445,0.023359097
2005/7/25,718.867,-0.003579784
2005/7/26,735.861,0.023364881
2005/7/27,750.015,0.019051964
2005/7/28,747.23,-0.00372017
2005/7/29,744.825,-0.003223745
2005/8/1,750.488,0.00757437
2005/8/2,763.29,0.016914376
2005/8/3,769.752,0.008430347
2005/8/4,765.262,-0.005850126
2005/8/5,787.819,0.029050109
2005/8/8,800.117,0.015489599
2005/8/9,814.186,0.017430874
2005/8/10,823.839,0.011786281
2005/8/11,832.841,0.010867625
2005/8/12,816.386,-0.019955465
2005/8/15,839.667,0.028118102
2005/8/16,839.264,-0.000480067
2005/8/17,854.526,0.018021612
2005/8/18,820.664,-0.040433161
2005/8/19,820.869,0.000249767
2005/8/22,831.496,0.012862953
2005/8/23,816.914,-0.017692662
2005/8/24,826.716,0.0119274
2005/8/25,836.418,0.011667262
2005/8/26,840.431,0.004786367
2005/8/29,832.248,-0.009784382
2005/8/30,827.55,-0.005660945
2005/8/31,845.142,0.021035132
2005/9/1,865.405,0.023692945
2005/9/2,872.485,0.008147857
2005/9/5,884.29,0.013439601
2005/9/6,862.491,-0.024960349
2005/9/7,888.125,0.029287785
2005/9/8,889.69,0.001760589
2005/9/9,879.503,-0.011516112
2005/9/12,883.561,0.004603358
2005/9/13,904.311,0.023212995
2005/9/14,914.983,0.011732158
2005/9/15,918.505,0.003841862
2005/9/16,917.638,-0.000944371
2005/9/19,930.489,0.013907277
2005/9/20,924.16,-0.006825038
2005/9/21,909.787,-0.015674711
2005/9/22,880.013,-0.033273826
2005/9/23,868.549,-0.013112677
2005/9/26,874.84,0.007217009
2005/9/27,856.958,-0.020652103
2005/9/28,852.359,-0.00538111
2005/9/29,871.291,0.02196822
2005/9/30,869.509,-0.002047335
2005/10/10,858.748,-0.01245317
2005/10/11,878.623,0.022880395
2005/10/12,887.711,0.01029033
2005/10/13,883.45,-0.004811543
2005/10/14,876.053,-0.008408106
2005/10/17,878.757,0.003081818
2005/10/18,893.699,0.01686062
2005/10/19,886.314,-0.00829774
2005/10/20,886.551,0.000267364
2005/10/21,895.027,0.009515232
2005/10/24,897.757,0.003045545
2005/10/25,877.577,-0.02273473
2005/10/26,854.028,-0.027200721
2005/10/27,847.593,-0.007563412
2005/10/28,825.063,-0.026940821
2005/10/31,828.659,0.004348984
