"","CPHI.Open","CPHI.High","CPHI.Low","CPHI.Close","CPHI.Volume","CPHI.Adjusted"
"451",0.27,0.27,0.25,0.26,268400,0.26
"452",0.26,0.27,0.25,0.25,179200,0.25
"453",0.25,0.28,0.25,0.26,71000,0.26
"454",0.26,0.26,0.25,0.26,31800,0.26
"455",0.26,0.26,0.25,0.25,128400,0.25
"456",0.25,0.26,0.25,0.26,70600,0.26
"457",0.25,0.26,0.25,0.26,43100,0.26
"458",0.26,0.27,0.25,0.27,67900,0.27
"459",0.27,0.27,0.25,0.27,67500,0.27
"460",0.25,0.27,0.25,0.25,129500,0.25
"461",0.26,0.26,0.25,0.26,59000,0.26
"462",0.26,0.26,0.25,0.26,36500,0.26
"463",0.26,0.26,0.26,0.26,37800,0.26
"464",0.27,0.27,0.26,0.26,36600,0.26
"465",0.26,0.26,0.25,0.26,77500,0.26
"466",0.26,0.26,0.25,0.26,18200,0.26
"467",0.25,0.26,0.25,0.25,41200,0.25
"468",0.25,0.26,0.25,0.25,26700,0.25
"469",0.25,0.26,0.25,0.26,43600,0.26
"470",0.26,0.26,0.25,0.26,31300,0.26
"471",0.26,0.26,0.25,0.25,44600,0.25
"472",0.25,0.25,0.25,0.25,152700,0.25
"473",0.25,0.25,0.24,0.24,68900,0.24
"474",0.24,0.25,0.24,0.24,66100,0.24
"475",0.24,0.25,0.24,0.24,39900,0.24
"476",0.24,0.24,0.21,0.22,451100,0.22
"477",0.23,0.24,0.22,0.23,34100,0.23
"478",0.23,0.23,0.22,0.23,41500,0.23
"479",0.22,0.24,0.22,0.23,44000,0.23
"480",0.23,0.26,0.22,0.23,380900,0.23
"481",0.24,0.24,0.23,0.24,100600,0.24
"482",0.24,0.24,0.23,0.23,44000,0.23
"483",0.23,0.24,0.22,0.24,80600,0.24
"484",0.24,0.24,0.22,0.24,74000,0.24
"485",0.23,0.24,0.23,0.23,58400,0.23
"486",0.23,0.25,0.23,0.24,58200,0.24
"487",0.24,0.24,0.23,0.24,39700,0.24
"488",0.24,0.24,0.23,0.23,109500,0.23
"489",0.24,0.24,0.23,0.23,76300,0.23
"490",0.24,0.24,0.23,0.23,87700,0.23
"491",0.23,0.24,0.23,0.24,131200,0.24
"492",0.25,0.3,0.24,0.24,1369700,0.24
"493",0.25,0.26,0.25,0.25,95100,0.25
"494",0.25,0.25,0.24,0.25,66700,0.25
"495",0.25,0.25,0.24,0.25,87700,0.25
"496",0.25,0.26,0.23,0.24,91100,0.24
"497",0.24,0.25,0.24,0.25,56300,0.25
"498",0.24,0.25,0.24,0.24,29800,0.24
"499",0.25,0.25,0.24,0.25,23200,0.25
"500",0.24,0.25,0.23,0.23,111200,0.23
"501",0.24,0.24,0.23,0.24,73200,0.24
"502",0.25,0.25,0.23,0.23,66400,0.23
"503",0.23,0.24,0.23,0.24,128100,0.24
"504",0.24,0.25,0.24,0.25,181900,0.25
"505",0.24,0.3,0.24,0.27,1845900,0.27
"506",0.27,0.33,0.25,0.33,1731800,0.33
"507",0.31,0.31,0.26,0.28,907400,0.28
"508",0.27,0.32,0.27,0.31,1239000,0.31
"509",0.31,0.31,0.28,0.3,492000,0.3
"510",0.3,0.35,0.29,0.33,2770700,0.33
"511",0.38,0.38,0.31,0.35,1871100,0.35
"512",0.35,0.35,0.3,0.32,1155300,0.32
"513",0.31,0.33,0.29,0.3,921800,0.3
"514",0.31,0.31,0.29,0.29,490000,0.29
"515",0.29,0.3,0.28,0.29,280700,0.29
"516",0.33,0.44,0.3,0.41,7257900,0.41
"517",0.4,0.44,0.31,0.42,5805600,0.42
"518",0.37,0.42,0.35,0.38,1815700,0.38
"519",0.35,0.38,0.33,0.35,1195500,0.35
"520",0.4,0.47,0.36,0.41,5632300,0.41
"521",0.42,0.55,0.42,0.45,9225800,0.45
"522",0.48,0.49,0.39,0.43,3630000,0.43
"523",0.44,0.44,0.38,0.42,1897500,0.42
"524",0.42,0.47,0.4,0.47,3501600,0.47
"525",0.75,0.96,0.68,0.92,35538600,0.92
"526",0.81,0.82,0.52,0.63,9880100,0.63
"527",0.56,0.72,0.48,0.59,4826800,0.59
"528",0.58,0.6,0.51,0.52,1913100,0.52
"529",0.53,0.69,0.51,0.66,8460000,0.66
"530",0.65,0.65,0.55,0.57,3269400,0.57
"531",0.57,0.57,0.52,0.52,1750000,0.52
"532",0.52,0.55,0.43,0.46,3210100,0.46
"533",0.51,0.52,0.47,0.5,1542200,0.5
"534",0.5,0.5,0.45,0.45,1296600,0.45
"535",0.46,0.47,0.4,0.42,1680800,0.42
"536",0.45,0.45,0.4,0.43,1069000,0.43
"537",0.41,0.45,0.39,0.43,1609100,0.43
"538",0.43,0.49,0.4,0.47,2115100,0.47
"539",0.48,0.6,0.48,0.5,5577400,0.5
"540",0.49,0.53,0.43,0.53,3793000,0.53
"541",0.51,0.56,0.46,0.56,5157300,0.56
"542",0.62,0.75,0.56,0.63,10761700,0.63
"543",0.74,0.79,0.55,0.57,7590600,0.57
"544",1,1.4,0.91,1.14,36834000,1.14
"545",0.95,0.99,0.75,0.88,9680800,0.88
"546",0.85,0.85,0.77,0.81,3686400,0.81
"547",0.92,1.07,0.85,0.9,7063100,0.9
"548",0.92,0.95,0.81,0.85,3307500,0.85
"549",0.84,0.84,0.65,0.69,2691500,0.69
"550",0.7,0.72,0.58,0.58,1901500,0.58
"551",0.6,0.76,0.58,0.74,4491000,0.74
"552",0.7,0.7,0.6,0.62,1196300,0.62
"553",0.6,0.71,0.55,0.56,1469200,0.56
"554",0.57,0.57,0.51,0.53,646200,0.53
"555",0.56,0.66,0.55,0.58,1998800,0.58
"556",0.57,0.57,0.51,0.54,1126900,0.54
"557",0.55,0.63,0.51,0.62,1715400,0.62
"558",0.62,0.68,0.57,0.57,1347600,0.57
"559",0.58,0.75,0.57,0.66,2687300,0.66
"560",0.72,0.72,0.6,0.64,1126300,0.64
"561",0.62,0.64,0.6,0.61,729700,0.61
"562",0.6,0.62,0.58,0.61,732800,0.61
"563",0.58,0.64,0.58,0.63,762600,0.63
"564",0.66,0.68,0.62,0.67,1097400,0.67
"565",0.41,0.55,0.35,0.5,2348900,0.5
"566",0.49,0.49,0.43,0.45,1141300,0.45
"567",0.43,0.45,0.4,0.4,383200,0.4
"568",0.4,0.43,0.4,0.41,503300,0.41
"569",0.38,0.42,0.36,0.39,648800,0.39
"570",0.41,0.45,0.39,0.42,2479900,0.42
"571",0.42,0.45,0.39,0.41,1119100,0.41
"572",0.4,0.43,0.39,0.41,659600,0.41
"573",0.41,0.42,0.39,0.41,382400,0.41
"574",0.41,0.48,0.4,0.45,1880300,0.45
"575",0.79,0.8,0.5,0.56,14220900,0.56
"576",0.52,0.54,0.45,0.49,1735900,0.49
"577",0.48,0.51,0.47,0.49,698200,0.49
"578",0.49,0.49,0.46,0.48,702200,0.48
"579",0.47,0.48,0.43,0.44,881100,0.44
"580",0.46,0.47,0.43,0.45,338000,0.45
"581",0.46,0.48,0.45,0.47,863400,0.47
"582",0.46,0.47,0.45,0.46,305900,0.46
"583",0.46,0.5,0.45,0.47,1179000,0.47
"584",0.49,0.5,0.47,0.49,373200,0.49
"585",0.5,0.5,0.47,0.48,283300,0.48
"586",0.48,0.55,0.46,0.48,1397900,0.48
"587",0.46,0.48,0.46,0.47,441000,0.47
"588",0.46,0.48,0.46,0.47,326100,0.47
"589",0.46,0.48,0.45,0.45,419500,0.45
"590",0.45,0.49,0.45,0.47,733400,0.47
"591",0.5,0.5,0.47,0.47,815000,0.47
"592",0.48,0.5,0.46,0.49,519400,0.49
"593",0.5,0.52,0.47,0.48,699500,0.48
"594",0.49,0.49,0.46,0.47,440500,0.47
"595",0.47,0.49,0.43,0.46,611600,0.46
"596",0.45,0.49,0.41,0.48,1766600,0.48
"597",0.42,0.46,0.42,0.45,716100,0.45
"598",0.42,0.45,0.42,0.44,525600,0.44
"599",0.44,0.46,0.43,0.45,379300,0.45
"600",0.46,0.52,0.43,0.48,3694800,0.48
"601",0.46,0.47,0.44,0.45,488800,0.45
"602",0.44,0.5,0.43,0.46,4270400,0.46
"603",0.49,0.49,0.45,0.46,1004700,0.46
"604",0.45,0.46,0.44,0.44,874200,0.44
"605",0.45,0.52,0.44,0.47,4607700,0.47
"606",0.45,0.46,0.44,0.45,1312700,0.45
"607",0.44,0.45,0.43,0.45,489200,0.45
"608",0.44,0.45,0.44,0.45,499400,0.45
"609",0.44,0.45,0.44,0.44,664300,0.44
"610",0.44,0.44,0.43,0.44,688400,0.44
"611",0.43,0.44,0.42,0.43,843000,0.43
"612",0.44,0.48,0.42,0.45,3691500,0.45
"613",0.44,0.61,0.44,0.54,8669100,0.54
"614",0.52,0.59,0.51,0.52,2566400,0.52
"615",0.5,0.58,0.46,0.5,5296700,0.5
"616",0.53,0.55,0.47,0.51,2578200,0.51
"617",0.52,0.68,0.51,0.65,7783100,0.65
"618",0.6,0.64,0.55,0.58,4942300,0.58
"619",0.59,0.6,0.54,0.57,1173600,0.57
"620",0.57,0.7,0.54,0.65,6988900,0.65
"621",0.64,0.65,0.56,0.6,2446200,0.6
"622",0.59,0.65,0.58,0.63,1976800,0.63
"623",0.63,0.65,0.59,0.63,2890100,0.63
