"","The level of risk reverse","The condition of the answer of financial problems","stock","financial asset","stock assset","financial market","province","gender","education level","marital status","educational investment","experience of finance","real estate","work","finance problem 1","finance problem 2"
"344",0,1,0,1,0,1,"上海市",1,6,0,0,1,0,0,0,1
"345",3,1,1,0.5,0.5,1,"上海市",1,3,1,0,0,1,1,1,0
"346",3,1,0,0,0,0,"上海市",0,2,1,0,1,1,0,0,1
"347",3,2,0,0.333333333,0,1,"上海市",1,7,0,0,0,1,0,1,1
"348",3,1,0,0,0,0,"上海市",0,3,0,0,1,0,0,0,1
"349",3,1,1,0.666666667,0.5,1,"上海市",1,6,0,0,0,1,0,0,1
"350",4,2,0,0.5,0,1,"上海市",1,2,0,0,1,1,0,1,1
"351",2,2,0,0,0,0,"上海市",0,7,4,1,1,0,0,1,1
"352",2,0,0,0.333333333,0,1,"上海市",1,2,1,0,1,1,0,0,0
"353",2,2,1,0.5,0.5,1,"上海市",1,6,1,0,1,1,0,1,1
"354",0,2,0,0,0,0,"上海市",0,2,1,1,0,1,1,1,1
"355",2,1,0,0,0,0,"上海市",1,6,0,0,1,0,0,0,1
"356",3,0,0,1,0,1,"上海市",0,5,0,1,1,0,0,0,0
"357",4,2,0,0.5,0,1,"上海市",1,6,1,1,1,1,0,1,1
"358",2,1,0,0.666666667,0,1,"上海市",0,3,1,1,1,1,0,1,0
"359",3,0,0,0,0,1,"上海市",1,3,1,1,1,1,1,0,0
"360",1,2,0,1,0,1,"上海市",1,6,1,1,1,0,0,1,1
"361",0,2,0,0,0,0,"上海市",0,2,1,0,1,0,1,1,1
"362",4,1,0,0,0,0,"上海市",0,3,0,0,1,1,1,0,1
"363",3,1,1,0.333333333,1,1,"上海市",0,2,1,1,1,1,0,0,1
"364",2,2,0,0,0,0,"上海市",1,6,0,0,1,1,1,1,1
"365",3,2,0,0,0,0,"上海市",0,6,0,0,0,1,0,1,1
"366",3,2,0,0.75,0,1,"上海市",1,6,1,1,1,1,0,1,1
"367",4,0,0,0,0,0,"上海市",0,1,1,1,1,1,1,0,0
"368",0,2,0,0,0,0,"上海市",1,6,0,1,0,0,1,1,1
"369",4,2,0,0.5,0,1,"上海市",1,6,1,0,1,1,0,1,1
"370",4,1,0,0,0,0,"上海市",1,3,1,0,1,1,0,0,1
"371",2,2,1,0.666666667,0.5,1,"上海市",0,7,0,0,0,1,0,1,1
"372",1,2,1,0.8,0.25,1,"上海市",0,6,1,1,1,1,0,1,1
"373",1,1,0,1,0,1,"上海市",1,6,0,0,1,0,0,0,1
"374",3,1,0,0,0,1,"上海市",1,2,1,1,1,0,1,0,1
"375",4,0,0,0,0,1,"上海市",0,3,1,1,1,1,1,0,0
"376",2,1,1,0.666666667,0.5,1,"上海市",1,6,0,1,1,1,1,0,1
"377",2,2,0,0,0,0,"上海市",0,3,1,1,0,1,1,1,1
"378",3,2,0,0.333333333,0,1,"上海市",1,2,1,0,1,1,1,1,1
"379",2,2,0,0.5,0,1,"上海市",1,3,1,0,1,1,0,1,1
"380",4,0,0,0,0,0,"上海市",0,1,1,0,1,0,1,0,0
"381",2,1,0,1,0,1,"上海市",0,6,1,1,1,0,0,0,1
"382",1,0,0,0.5,0,1,"上海市",1,6,0,1,0,0,1,0,0
"383",4,2,0,0,0,0,"上海市",1,1,5,0,1,1,1,1,1
"384",4,1,1,0.666666667,0.5,1,"上海市",1,4,1,1,1,1,0,1,0
"385",3,2,0,0,0,0,"上海市",1,6,0,0,1,1,1,1,1
"386",4,2,0,0,0,0,"上海市",1,2,1,1,1,0,0,1,1
"387",4,2,0,0,0,0,"上海市",1,5,1,0,1,1,0,1,1
"388",4,1,0,1,0,1,"上海市",1,6,0,0,0,0,0,1,0
"389",2,2,0,0,0,0,"上海市",0,3,1,0,1,1,0,1,1
"390",3,2,1,0.8,0.25,1,"上海市",1,5,1,1,1,1,0,1,1
"391",4,2,0,0,0,0,"上海市",1,2,1,1,1,1,1,1,1
"392",4,0,0,0,0,0,"上海市",1,1,4,1,1,1,1,0,0
"393",1,2,1,0.8,0.125,1,"上海市",1,4,0,0,1,1,0,1,1
"394",2,2,0,0,0,0,"上海市",1,4,0,0,1,1,0,1,1
"395",4,2,0,0,0,0,"上海市",0,5,1,1,1,1,0,1,1
"396",1,2,1,1,0.25,1,"上海市",0,6,0,1,0,0,1,1,1
"397",0,2,0,0,0,0,"上海市",0,6,0,1,1,0,1,1,1
"398",4,1,0,0,0,1,"上海市",1,6,1,1,1,1,0,0,1
"399",2,2,1,0.5,1,1,"上海市",0,6,0,0,1,1,0,1,1
"400",2,1,0,0.6,0,1,"上海市",1,5,1,1,1,1,0,0,1
"401",4,1,0,0,0,0,"上海市",0,3,1,0,1,1,1,0,1
"402",4,1,0,0,0,0,"上海市",1,2,5,0,1,1,1,1,0
"403",1,2,1,0.5,0.5,1,"上海市",0,5,1,0,1,1,1,1,1
"404",3,0,0,1,0,1,"上海市",0,2,1,1,1,0,0,0,0
"405",2,2,0,0,0,0,"上海市",1,6,0,1,0,1,1,1,1
"406",3,2,0,1,0,1,"上海市",1,6,2,0,0,0,0,1,1
"407",3,1,0,0.666666667,0,1,"上海市",0,2,1,1,1,1,0,0,1
"408",4,2,0,0,0,0,"上海市",1,3,5,1,1,0,1,1,1
"409",4,0,0,0,0,0,"上海市",0,5,0,0,1,1,0,0,0
"410",1,0,1,0.666666667,0.5,1,"上海市",1,5,0,1,1,1,1,0,0
"411",2,2,0,0.6,0,1,"上海市",0,5,1,1,1,1,1,1,1
"412",3,2,1,0.875,0.142857143,1,"上海市",1,6,1,1,0,1,0,1,1
"413",3,2,0,0,0,0,"上海市",0,3,1,1,1,1,0,1,1
"414",2,2,0,0.666666667,0,1,"上海市",0,6,1,1,1,1,0,1,1
"415",1,1,1,0.8,0.25,1,"上海市",0,5,1,1,0,1,1,0,1
"416",4,1,0,0,0,0,"上海市",0,2,2,0,1,0,0,1,0
"417",0,2,0,0.666666667,0,1,"上海市",0,6,1,0,0,1,0,1,1
"418",3,0,1,1,1,1,"上海市",0,4,1,1,1,0,1,0,0
"419",4,1,0,0,0,0,"上海市",0,2,1,1,1,1,0,0,1
"420",3,2,0,0,0,0,"上海市",0,6,1,1,1,0,0,1,1
"421",4,2,0,0,0,0,"上海市",1,6,1,0,1,1,0,1,1
"422",2,2,1,0.666666667,0.5,1,"上海市",1,6,0,0,0,1,0,1,1
"423",3,2,1,0.714285714,0.2,1,"上海市",1,6,1,1,0,1,0,1,1
"424",4,2,0,0,0,0,"上海市",0,2,1,0,1,1,1,1,1
"425",4,0,0,0,0,0,"上海市",1,2,5,0,1,0,1,0,0
"426",4,2,0,0,0,0,"上海市",0,2,1,0,1,1,1,1,1
"427",4,2,0,0.5,0,1,"上海市",1,2,1,0,1,1,1,1,1
"428",3,1,0,0.5,0,1,"上海市",0,2,1,0,1,1,0,0,1
"429",4,0,0,0,0,0,"上海市",1,1,1,0,1,0,1,0,0
"430",4,0,0,0,0,0,"上海市",1,2,5,0,1,1,1,0,0
"431",2,2,0,0,0,0,"上海市",1,6,0,0,1,1,1,1,1
"432",4,2,1,0.5,0.5,1,"上海市",1,6,1,1,1,1,0,1,1
"433",4,0,0,0,0,0,"上海市",1,1,1,1,1,1,1,0,0
"434",3,2,0,1,0,1,"上海市",1,7,0,0,1,0,0,1,1
"435",2,1,0,0,0,0,"上海市",1,1,1,1,1,1,0,0,1
"436",2,2,0,1,0,1,"上海市",0,6,0,0,0,0,0,1,1
"437",2,1,0,0.5,0,1,"上海市",1,2,1,1,1,1,0,1,0
"438",2,2,0,0.5,0,1,"上海市",1,6,0,0,1,1,1,1,1
"439",3,1,0,0,0,0,"上海市",1,4,1,1,1,1,1,0,1
"440",1,2,1,1,0.333333333,1,"上海市",0,6,0,1,1,0,0,1,1
"441",3,0,0,0,0,0,"上海市",0,3,0,0,1,0,1,0,0
"442",4,2,1,0.5,1,1,"上海市",1,3,1,1,1,1,0,1,1
"443",1,2,1,0.5,1,1,"上海市",0,6,1,1,1,1,0,1,1
"444",3,0,0,0,0,0,"上海市",1,1,1,1,1,1,1,0,0
"445",3,2,0,0.5,0,1,"上海市",1,5,1,0,1,1,0,1,1
"446",2,1,0,0.333333333,0,1,"上海市",1,3,1,0,1,1,1,0,1
"447",1,2,0,1,0,1,"上海市",1,6,0,0,1,0,0,1,1
"448",4,1,0,0,0,0,"上海市",1,5,1,0,0,1,0,0,1
"449",3,1,0,0,0,0,"上海市",0,5,1,1,1,0,0,0,1
"450",4,2,0,0,0,0,"上海市",1,3,1,0,1,1,1,1,1
"451",0,2,1,0.75,0.333333333,1,"上海市",1,8,1,1,0,1,0,1,1
"452",4,1,0,0,0,0,"上海市",1,3,4,0,1,0,0,0,1
"453",4,2,1,0.75,0.333333333,1,"上海市",1,6,1,1,0,1,0,1,1
"454",2,1,0,0,0,0,"上海市",1,2,5,1,1,1,1,0,1
"455",4,2,0,1,0,1,"上海市",1,5,0,0,1,0,0,1,1
"456",2,2,0,1,0,1,"上海市",0,6,1,1,1,0,0,1,1
"457",4,2,0,0,0,0,"上海市",0,4,1,0,1,0,1,1,1
"458",4,1,1,0.5,1,1,"上海市",0,6,1,1,1,1,0,0,1
"459",2,2,1,0.5,1,1,"上海市",1,5,1,1,1,1,0,1,1
"460",3,1,0,0,0,0,"上海市",0,3,1,0,1,1,1,0,1
"461",4,2,0,0.5,0,1,"上海市",0,6,1,0,1,1,1,1,1
"462",2,2,1,0.666666667,0.5,1,"上海市",0,3,1,1,1,0,0,1,1
"463",3,2,1,0.5,1,1,"上海市",0,5,1,0,0,1,1,1,1
"464",4,2,1,0.6,0.333333333,1,"上海市",0,7,1,1,0,1,0,1,1
"465",2,1,1,0.6,0.333333333,1,"上海市",1,2,1,1,1,1,1,1,0
"466",2,2,0,0,0,0,"上海市",0,3,1,1,1,0,0,1,1
"467",2,1,1,0.666666667,0.5,1,"上海市",0,3,1,1,1,1,1,1,0
"468",3,1,0,0,0,0,"上海市",1,2,1,0,1,0,1,1,0
"469",4,2,0,0,0,0,"上海市",1,6,1,1,1,1,0,1,1
"470",1,2,1,0.833333333,0.2,1,"上海市",0,6,1,1,0,1,0,1,1
"471",4,2,0,0.5,0,1,"上海市",0,3,1,0,1,1,1,1,1
"472",4,2,0,0,0,0,"上海市",1,2,4,0,1,0,1,1,1
"473",3,2,1,1,0.5,1,"上海市",1,3,1,1,1,0,0,1,1
"474",1,1,1,0.5,0.5,1,"上海市",1,5,1,1,1,1,0,0,1
"475",4,0,0,0.333333333,0,1,"上海市",1,2,1,0,1,1,0,0,0
"476",2,2,1,0.333333333,1,1,"上海市",1,3,1,0,1,1,1,1,1
"477",3,2,0,0,0,0,"上海市",1,5,0,0,1,0,1,1,1
"478",2,2,1,0.8,0.25,1,"上海市",1,6,1,1,1,1,0,1,1
"479",4,2,0,0,0,0,"上海市",1,2,1,0,1,0,0,1,1
"480",3,1,1,1,1,1,"上海市",0,6,1,1,1,0,0,0,1
"481",2,2,0,0,0,0,"上海市",0,6,1,1,0,0,0,1,1
"482",0,2,1,0.5,1,1,"上海市",0,5,0,1,0,1,1,1,1
"483",1,2,0,0.833333333,0,1,"上海市",1,6,0,0,0,1,0,1,1
"484",3,0,1,0.75,0.333333333,1,"上海市",0,8,1,1,1,1,0,0,0
"485",2,2,1,0.909090909,0.1,1,"上海市",1,7,1,1,1,1,0,1,1
"486",4,1,0,0.333333333,0,1,"上海市",0,3,1,1,1,1,1,1,0
"487",2,1,1,0.6,0.333333333,1,"上海市",0,5,1,1,0,1,0,0,1
"488",4,2,0,1,0,1,"上海市",1,2,1,1,1,0,1,1,1
"489",4,1,0,0,0,0,"上海市",0,1,1,0,1,0,0,0,1
"490",3,2,1,0.5,1,1,"上海市",1,4,1,1,1,1,0,1,1
"491",3,2,0,0.5,0,1,"上海市",0,3,0,0,1,1,0,1,1
"492",2,0,0,0,0,0,"上海市",1,4,1,1,1,1,0,0,0
"493",1,0,0,0,0,0,"上海市",0,6,0,1,1,0,0,0,0
"494",2,1,0,0.75,0,1,"上海市",1,5,0,0,0,0,0,0,1
"495",3,2,0,0,0,0,"上海市",1,6,0,0,1,1,0,1,1
"496",3,1,0,0,0,0,"上海市",0,5,0,0,1,0,0,0,1
"497",4,1,0,0,0,0,"上海市",1,2,1,0,1,0,1,0,1
"498",3,2,1,0.5,0.5,1,"上海市",0,6,1,1,1,1,1,1,1
"499",4,0,0,0,0,0,"上海市",1,2,1,0,1,1,1,0,0
"500",1,1,1,0.6,0.333333333,1,"上海市",1,7,0,0,0,1,0,0,1
"501",3,0,0,0,0,0,"上海市",1,2,5,1,1,0,1,0,0
"502",3,2,0,0.5,0,1,"上海市",1,6,0,1,0,1,1,1,1
"503",2,2,0,0.5,0,1,"上海市",0,2,1,1,1,1,1,1,1
"504",4,1,0,0,0,0,"上海市",0,2,1,0,1,0,1,0,1
"505",2,2,0,1,0,1,"上海市",1,3,1,1,1,0,0,1,1
"506",2,1,0,1,0,1,"上海市",1,6,0,0,1,0,0,0,1
"507",2,2,0,0.714285714,0,1,"上海市",1,6,1,1,1,1,0,1,1
"508",4,1,0,0.333333333,0,1,"上海市",1,2,1,1,1,1,0,0,1
"509",3,2,0,0,0,0,"上海市",0,7,1,1,1,1,0,1,1
"510",4,1,0,0,0,0,"上海市",0,2,1,1,1,1,1,0,1
"511",4,1,0,0,0,0,"上海市",1,2,1,0,1,1,1,0,1
"512",3,1,1,1,1,1,"上海市",0,6,0,1,1,0,1,0,1
"513",4,1,0,0,0,0,"上海市",1,5,5,0,1,1,1,0,1
"514",3,2,1,0.5,0.5,1,"上海市",1,7,1,1,1,1,0,1,1
"515",2,0,1,0.333333333,1,1,"上海市",1,3,1,1,1,1,0,0,0
"516",4,0,0,1,0,1,"上海市",0,1,1,0,1,0,1,0,0
"517",4,1,0,0,0,0,"上海市",1,2,1,0,1,1,1,1,0
"518",1,2,1,1,0.5,1,"上海市",0,7,0,0,1,0,0,1,1
"519",2,2,0,0.333333333,0,1,"上海市",1,6,0,1,0,1,0,1,1
"520",4,1,0,0,0,0,"上海市",1,2,1,1,1,1,0,0,1
"521",4,1,0,0,0,0,"上海市",0,2,4,1,1,1,0,0,1
"522",4,2,0,0,0,0,"上海市",0,3,1,1,1,1,0,1,1
"523",2,1,0,0,0,0,"上海市",1,6,0,0,1,1,0,0,1
"524",3,1,0,0.5,0,1,"上海市",1,6,1,1,1,1,0,0,1
"525",2,2,0,0,0,0,"上海市",0,6,1,1,1,0,0,1,1
"526",2,2,1,0.75,0.333333333,1,"上海市",0,6,1,1,1,1,0,1,1
"527",4,2,0,0,0,1,"上海市",1,3,1,0,1,1,0,1,1
"528",4,1,1,0.5,1,1,"上海市",1,4,4,1,1,1,0,0,1
"529",3,2,1,1,0.5,1,"上海市",0,3,1,1,1,0,1,1,1
"530",1,2,0,0,0,0,"上海市",1,6,0,1,0,1,0,1,1
"531",3,1,0,0,0,0,"上海市",0,3,1,0,1,1,1,0,1
"532",2,2,1,0.5,1,1,"上海市",1,3,1,1,1,1,0,1,1
"533",1,2,0,0.875,0,1,"上海市",0,4,0,0,1,1,0,1,1
"534",4,1,0,0,0,0,"上海市",0,3,4,1,1,0,0,1,0
"535",2,1,1,0.666666667,0.5,1,"上海市",1,5,1,1,1,1,0,0,1
"536",3,2,0,0.5,0,1,"上海市",0,6,0,1,0,1,1,1,1
"537",2,1,0,0.5,0,1,"上海市",1,3,1,0,1,1,1,0,1
"538",4,0,1,1,0.5,1,"上海市",0,6,1,1,1,0,0,0,0
"539",4,0,1,0.5,1,1,"上海市",0,2,1,1,1,1,1,0,0
"540",4,0,0,0,0,0,"上海市",0,2,1,1,1,1,0,0,0
"541",0,0,1,1,0.333333333,1,"上海市",0,7,1,0,0,0,0,0,0
"542",2,1,0,0,0,0,"上海市",0,3,1,1,1,1,0,0,1
"543",3,2,1,0.5,1,1,"上海市",1,6,0,1,1,1,1,1,1
"544",1,2,1,1,0.5,1,"上海市",0,6,0,1,1,0,1,1,1
"545",2,1,0,0.5,0,1,"上海市",1,6,0,0,1,1,0,0,1
"546",2,2,0,0.5,0,1,"上海市",1,5,0,0,0,1,1,1,1
"547",4,1,0,0.5,0,1,"上海市",0,6,0,0,1,1,0,0,1
"548",4,1,0,0,0,0,"上海市",0,3,1,1,0,1,0,0,1
"549",4,2,0,0.5,0,1,"上海市",0,3,1,0,1,1,1,1,1
"550",1,2,0,1,0,1,"上海市",1,5,0,0,1,0,0,1,1
"551",4,0,0,0,0,0,"上海市",1,3,1,1,1,0,0,0,0
"552",2,2,0,0,0,0,"上海市",1,5,0,1,0,0,1,1,1
"553",2,2,1,0.666666667,0.5,1,"上海市",1,6,0,1,1,1,1,1,1
"554",1,2,0,1,0,1,"上海市",1,6,0,0,1,0,0,1,1
"555",4,0,0,0,0,0,"上海市",1,2,1,0,1,0,1,0,0
"556",3,1,0,1,0,1,"上海市",0,2,1,0,1,0,1,0,1
"557",3,1,0,0.5,0,1,"上海市",1,6,1,0,1,1,0,0,1
"558",2,1,1,0.333333333,1,1,"上海市",1,5,1,0,1,1,0,0,1
"559",2,2,0,0.666666667,0,1,"上海市",1,6,0,1,1,1,1,1,1
"560",4,2,0,0,0,0,"上海市",0,2,1,0,1,1,0,1,1
"561",4,1,1,1,1,1,"上海市",1,6,0,0,1,0,0,0,1
"562",4,2,1,0.333333333,1,1,"上海市",1,4,1,0,1,1,1,1,1
"563",3,2,0,0.666666667,0,1,"上海市",1,6,5,1,1,1,1,1,1
"564",3,2,1,0.5,1,1,"上海市",0,6,1,1,1,1,0,1,1
"565",1,0,0,0,0,0,"上海市",1,6,0,0,0,0,0,0,0
"566",2,2,0,0.5,0,1,"上海市",0,5,0,1,0,1,0,1,1
"567",1,2,1,0.5,1,1,"上海市",1,6,1,1,0,1,0,1,1
"568",0,2,0,1,0,1,"上海市",1,3,1,1,1,0,0,1,1
"569",0,0,0,0,0,0,"上海市",0,5,1,1,0,1,0,0,0
"570",3,1,1,0.5,0.5,1,"上海市",1,6,1,1,1,1,0,0,1
"571",0,0,0,1,0,1,"上海市",1,2,1,1,1,0,0,0,0
"572",4,2,0,0,0,0,"上海市",0,1,1,0,1,0,1,1,1
"573",4,2,1,0.666666667,0.5,1,"上海市",0,3,1,1,1,1,0,1,1
"574",4,1,0,0,0,0,"上海市",1,5,1,0,1,1,1,0,1
"575",2,2,0,0,0,0,"上海市",1,7,0,0,1,0,0,1,1
"576",1,1,0,0,0,0,"上海市",0,5,0,0,1,0,0,0,1
"577",3,0,0,0.666666667,0,1,"上海市",0,3,1,0,1,1,1,0,0
"578",3,2,1,0.75,0.333333333,1,"上海市",1,5,1,0,1,1,0,1,1
"579",0,2,1,0.5,1,1,"上海市",1,6,0,0,0,1,0,1,1
"580",2,2,1,0.777777778,0.142857143,1,"上海市",0,6,1,0,0,1,0,1,1
"581",1,1,0,0.5,0,1,"上海市",0,4,1,1,1,0,0,0,1
"582",1,2,0,1,0,1,"上海市",0,6,0,1,1,0,1,1,1
"583",2,1,1,0.833333333,0.2,1,"上海市",0,4,4,1,1,1,1,1,0
"584",1,2,0,0,0,0,"上海市",0,2,1,0,1,0,1,1,1
"585",1,2,1,0.5,1,1,"上海市",0,6,1,1,1,1,1,1,1
"586",4,2,0,1,0,1,"上海市",0,6,0,0,1,0,0,1,1
"587",2,1,1,0.5,1,1,"上海市",0,5,1,1,0,1,0,0,1
"588",3,2,1,0.666666667,0.5,1,"上海市",1,8,1,1,0,1,0,1,1
"589",3,2,1,0.666666667,0.5,1,"上海市",0,3,1,1,1,1,0,1,1
"590",3,0,0,0,0,0,"上海市",1,2,1,1,1,1,0,0,0
"591",3,0,0,0.75,0,1,"上海市",0,3,1,0,1,1,1,0,0
"592",2,2,0,0,0,0,"上海市",0,2,1,1,1,0,0,1,1
"593",2,2,0,0.5,0,1,"上海市",0,6,1,1,1,1,1,1,1
"594",1,0,0,1,0,1,"上海市",0,6,0,0,1,0,0,0,0
"595",1,0,0,0,0,0,"上海市",1,4,1,0,0,1,0,0,0
"596",3,2,0,0.5,0,1,"上海市",0,3,1,1,1,1,0,1,1
"597",4,2,1,1,1,1,"上海市",0,8,1,1,1,0,0,1,1
"598",2,2,0,1,0,1,"上海市",0,3,0,0,1,0,0,1,1
"599",4,0,0,1,0,1,"上海市",1,3,1,0,1,0,0,0,0
"600",4,2,0,0,0,0,"上海市",0,2,1,0,1,0,0,1,1
"601",4,1,0,1,0,1,"上海市",0,5,1,0,1,0,0,0,1
"602",1,1,0,0.5,0,1,"上海市",1,6,1,1,0,1,0,0,1
"603",4,1,0,0,0,0,"上海市",0,4,1,1,1,1,0,0,1
"604",4,0,0,0,0,0,"上海市",1,1,1,0,1,0,1,0,0
"605",3,2,0,0.5,0,1,"上海市",1,3,1,1,1,1,0,1,1
"606",0,2,0,0,0,0,"上海市",0,5,4,0,1,1,1,1,1
"607",2,2,0,0,0,0,"上海市",1,6,0,0,0,0,0,1,1
"608",2,1,0,1,0,1,"上海市",0,3,1,1,1,0,0,1,0
"609",4,2,0,0,0,0,"上海市",1,0,1,0,1,1,1,1,1
"610",4,1,1,0.5,1,1,"上海市",0,5,1,1,1,1,1,0,1
"611",2,1,0,0,0,0,"上海市",1,5,1,1,1,0,0,0,1
"612",3,2,0,1,0,1,"上海市",0,5,1,0,1,0,0,1,1
"613",2,0,0,0,0,0,"上海市",1,2,1,0,1,1,1,0,0
"614",3,1,0,0,0,0,"上海市",1,5,0,0,1,0,0,1,0
"615",2,1,1,1,0.2,1,"上海市",0,6,0,1,1,0,1,0,1
"616",2,2,0,0.666666667,0,1,"上海市",0,8,1,1,1,1,0,1,1
"617",2,2,1,0.75,0.333333333,1,"上海市",0,2,1,0,1,1,1,1,1
"618",2,2,0,0,0,0,"上海市",0,5,1,0,1,0,0,1,1
"619",2,1,1,1,0.5,1,"上海市",0,6,0,1,1,0,1,0,1
"620",2,1,0,0,0,0,"上海市",0,5,1,1,1,1,0,0,1
"621",2,2,0,0,0,0,"上海市",1,6,0,0,1,0,1,1,1
"622",1,2,0,0.333333333,0,1,"上海市",0,6,1,0,0,1,1,1,1
"623",3,1,0,0,0,0,"上海市",0,2,1,0,1,1,1,0,1
"624",3,2,0,0,0,0,"上海市",0,6,0,0,1,1,1,1,1
"625",2,1,0,1,0,1,"上海市",1,6,0,1,1,0,1,0,1
"626",0,2,0,1,0,1,"上海市",0,6,0,0,0,0,1,1,1
"627",2,1,1,0.5,0.5,1,"上海市",1,5,1,1,0,1,0,0,1
"628",2,2,1,0.5,0.5,1,"上海市",1,5,1,0,0,1,1,1,1
"629",4,1,0,0,0,0,"上海市",1,1,5,1,1,0,1,0,1
"630",0,2,0,0,0,0,"上海市",0,7,1,0,1,1,1,1,1
"631",4,1,0,0,0,0,"上海市",0,4,5,0,1,1,1,0,1
"632",2,2,0,0.5,0,1,"上海市",1,6,0,1,0,1,1,1,1
"633",4,2,0,0,0,0,"上海市",1,1,1,0,1,1,1,1,1
"634",2,2,1,1,1,1,"上海市",0,6,1,1,1,0,0,1,1
"635",2,1,1,0.666666667,0.5,1,"上海市",0,3,1,1,1,1,0,0,1
"636",3,2,0,0.666666667,0,1,"上海市",0,6,1,0,0,1,0,1,1
"637",4,1,0,0,0,0,"上海市",1,6,1,1,1,0,0,1,0
"638",3,1,1,0.333333333,1,1,"上海市",1,2,1,0,1,1,1,0,1
"639",2,0,1,1,1,1,"上海市",0,5,1,0,0,0,0,0,0
"640",2,0,0,0,0,0,"上海市",1,2,1,0,1,1,1,0,0
"641",0,2,0,0.5,0,1,"上海市",0,4,0,0,1,1,1,1,1
"642",4,1,1,0.5,1,1,"上海市",1,3,1,1,1,1,0,0,1
"643",3,2,0,0,0,0,"上海市",1,5,1,0,1,0,1,1,1
"644",1,0,1,0.666666667,0.5,1,"上海市",0,7,0,0,0,1,0,0,0
"645",2,2,1,1,0.333333333,1,"上海市",0,7,1,1,1,0,0,1,1
"646",3,1,1,0.5,1,1,"上海市",1,3,1,0,1,1,1,1,0
"647",2,2,0,0.8,0,1,"上海市",1,6,3,0,1,1,0,1,1
"648",3,2,1,0.8,0.125,1,"上海市",1,6,0,1,0,1,1,1,1
"649",2,2,1,1,0.5,1,"上海市",0,6,1,0,0,0,0,1,1
"650",2,2,0,0.5,0,1,"上海市",1,6,0,0,0,1,1,1,1
"651",3,1,0,0.666666667,0,1,"上海市",1,1,1,0,1,1,1,0,1
"652",3,2,1,0.8,0.25,1,"上海市",1,6,0,1,0,1,1,1,1
"653",4,2,0,0,0,0,"上海市",0,3,1,0,1,1,1,1,1
"654",0,1,0,0,0,0,"上海市",1,3,0,0,1,0,0,0,1
"655",0,1,0,0.5,0,1,"上海市",0,3,0,0,1,1,0,0,1
"656",2,1,1,0.666666667,0.5,1,"上海市",1,5,1,1,1,1,0,0,1
"657",4,0,0,0,0,0,"上海市",1,1,1,0,1,1,1,0,0
"658",4,1,0,0,0,0,"上海市",1,3,1,0,1,0,0,1,0
"659",0,2,0,0,0,0,"上海市",1,6,1,0,0,1,0,1,1
"660",3,2,1,1,0.5,1,"上海市",1,6,0,0,1,0,0,1,1
"661",3,2,0,1,0,1,"上海市",0,6,0,0,1,0,0,1,1
"662",2,2,0,0.5,0,1,"上海市",1,6,0,1,1,1,1,1,1
"663",4,1,0,0,0,0,"上海市",1,6,0,1,1,0,1,1,0
"664",4,1,0,0,0,0,"上海市",1,6,0,1,0,0,0,0,1
"665",0,2,0,0.666666667,0,1,"上海市",1,7,0,0,1,1,1,1,1
"666",3,2,0,0.5,0,1,"上海市",1,6,0,1,0,1,1,1,1
"667",3,2,1,0.5,1,1,"上海市",0,6,1,1,0,1,0,1,1
"668",1,2,1,0.666666667,0.5,1,"上海市",1,6,0,1,1,1,0,1,1
"669",2,1,0,0.5,0,1,"上海市",1,3,1,0,1,1,0,0,1
"670",2,1,0,0,0,0,"上海市",1,6,0,1,0,1,1,1,0
"671",4,2,0,0,0,0,"上海市",1,5,4,0,1,0,0,1,1
"672",4,2,1,0.666666667,0.25,1,"上海市",1,6,1,1,0,1,1,1,1
"673",2,2,1,1,0.333333333,1,"上海市",1,2,1,0,1,0,0,1,1
"674",3,2,1,0.5,1,1,"上海市",0,7,1,1,0,1,0,1,1
"675",3,2,1,0.5,0.5,1,"上海市",0,8,1,1,1,1,0,1,1
"676",4,0,0,0,0,0,"上海市",0,5,0,0,1,0,0,0,0
"677",3,2,0,0,0,0,"上海市",0,6,0,1,1,0,0,1,1
"678",4,2,0,0.333333333,0,1,"上海市",0,2,1,0,1,1,1,1,1
"679",4,2,0,0,0,0,"上海市",1,2,1,0,1,1,1,1,1
"680",4,0,0,0,0,0,"上海市",1,2,1,0,1,1,1,0,0
"681",0,2,1,0.5,0.5,1,"上海市",0,6,0,1,0,1,1,1,1
"682",4,2,0,0,0,0,"上海市",1,1,1,0,1,0,1,1,1
"683",2,1,0,0.5,0,1,"上海市",0,6,0,0,0,0,0,0,1
"684",4,1,0,0,0,0,"上海市",0,6,0,1,0,0,1,0,1
"685",1,2,0,0.666666667,0,1,"上海市",0,6,0,1,0,1,1,1,1
"686",1,1,0,0.5,0,1,"上海市",1,6,1,1,1,1,0,0,1
"687",3,2,0,0.333333333,0,1,"上海市",1,6,1,0,1,1,1,1,1
"688",2,2,1,0.666666667,0.25,1,"上海市",0,5,1,0,1,1,1,1,1
"689",3,2,0,0,0,0,"上海市",1,6,0,1,0,0,1,1,1
"690",3,2,0,0.5,0,1,"上海市",0,2,1,1,1,1,0,1,1
"691",1,2,0,0,0,0,"上海市",1,7,0,1,0,0,1,1,1
"692",2,0,0,0,0,0,"上海市",1,5,0,0,1,0,0,0,0
"693",2,0,0,0,0,0,"上海市",1,5,1,0,1,0,0,0,0
