"","The level of risk reverse","The condition of the answer of financial problems","stock","financial asset","stock assset","financial market","province","gender","education level","marital status","educational investment","experience of finance","real estate","work","finance problem 1","finance problem 2"
"78",4,1,0,0.5,0,1,"上海市",1,4,1,0,1,1,1,1,0
"79",3,2,0,0,0,0,"上海市",1,7,0,1,0,0,1,1,1
"80",3,2,0,0,0,0,"上海市",0,6,1,1,1,1,0,1,1
"81",4,2,0,0,0,0,"上海市",1,3,1,1,1,1,0,1,1
"82",2,2,0,0.5,0,1,"上海市",1,6,0,0,1,1,1,1,1
"83",4,2,1,0.5,1,1,"上海市",0,4,5,1,1,1,1,1,1
"84",2,1,0,1,0,1,"上海市",1,5,1,1,1,0,0,0,1
"85",4,2,0,1,0,1,"上海市",0,6,1,1,1,0,0,1,1
"86",2,1,1,0.666666667,0.5,1,"上海市",1,7,4,1,1,1,0,0,1
"87",3,2,1,0.333333333,1,1,"上海市",0,5,1,1,1,1,0,1,1
"88",1,1,1,0.666666667,0.25,1,"上海市",0,4,1,0,0,1,0,0,1
"89",4,2,0,0,0,0,"上海市",1,4,5,0,1,1,1,1,1
"90",3,2,1,0.75,0.333333333,1,"上海市",0,3,1,0,1,1,1,1,1
"91",4,1,1,0.666666667,0.5,1,"上海市",1,6,1,0,1,1,0,0,1
"92",3,1,0,0.666666667,0,1,"上海市",1,6,2,0,1,1,0,0,1
"93",4,1,1,0.666666667,0.5,1,"上海市",0,6,1,1,0,0,0,0,1
"94",1,2,1,0.333333333,1,1,"上海市",1,7,1,1,1,1,0,1,1
"95",2,2,0,0,0,0,"上海市",1,6,0,0,0,0,1,1,1
"96",0,1,1,0.5,1,1,"上海市",1,2,1,1,1,1,1,0,1
"97",3,2,1,0.5,0.5,1,"上海市",1,5,1,1,1,1,0,1,1
"98",3,2,1,0.5,0.5,1,"上海市",1,6,1,1,1,1,0,1,1
"99",1,0,0,1,0,1,"上海市",0,4,0,0,1,0,0,0,0
"100",2,0,1,0.666666667,0.5,1,"上海市",1,5,1,0,1,0,0,0,0
"101",1,2,1,0.75,0.333333333,1,"上海市",0,5,0,0,0,1,0,1,1
"102",4,1,0,0,0,0,"上海市",0,6,1,0,1,1,1,0,1
"103",2,2,0,0.666666667,0,1,"上海市",0,5,1,0,1,1,0,1,1
"104",3,2,1,0.5,1,1,"上海市",1,6,1,1,1,1,0,1,1
"105",3,2,1,0.666666667,0.5,1,"上海市",0,5,1,1,1,1,0,1,1
"106",2,2,0,0,0,0,"上海市",1,6,1,1,1,0,0,1,1
"107",3,2,0,0.8,0,1,"上海市",0,6,1,1,1,1,0,1,1
"108",2,2,1,0.5,1,1,"上海市",1,5,1,1,1,0,0,1,1
"109",3,1,0,0.5,0,1,"上海市",1,5,0,0,1,1,1,0,1
"110",3,2,0,0.833333333,0,1,"上海市",1,6,1,1,0,1,0,1,1
"111",4,2,0,0,0,0,"上海市",1,2,1,1,1,1,0,1,1
"112",2,1,1,0.75,0.333333333,1,"上海市",1,4,1,1,1,1,1,0,1
"113",4,0,0,0.5,0,1,"上海市",1,3,1,1,1,1,1,0,0
"114",4,0,0,0,0,0,"上海市",1,6,1,1,0,0,1,0,0
"115",4,0,0,0,0,0,"上海市",0,1,1,0,1,1,1,0,0
"116",4,2,0,0,0,0,"上海市",0,5,1,0,1,1,1,1,1
"117",4,0,1,1,1,1,"上海市",1,3,1,0,1,0,1,0,0
"118",4,0,1,1,0.5,1,"上海市",1,3,1,0,1,0,1,0,0
"119",4,0,0,0,0,0,"上海市",1,2,1,0,1,1,1,0,0
"120",2,1,1,0.5,0.5,1,"上海市",1,6,0,1,0,1,1,0,1
"121",2,2,1,0.5,1,1,"上海市",1,6,4,1,1,1,0,1,1
"122",2,2,1,0.5,1,1,"上海市",0,5,1,1,1,1,0,1,1
"123",2,1,1,1,0.25,1,"上海市",1,3,1,1,1,0,0,0,1
"124",4,2,0,0,0,1,"上海市",1,3,1,0,1,0,0,1,1
"125",2,0,0,0.5,0,1,"上海市",1,1,1,1,1,0,1,0,0
"126",0,0,0,0,0,0,"上海市",1,4,1,0,1,0,1,0,0
"127",1,2,0,0.5,0,1,"上海市",1,6,0,1,1,1,1,1,1
"128",2,2,1,0.6,0.333333333,1,"上海市",0,6,1,0,1,1,0,1,1
"129",2,2,1,0.666666667,0.25,1,"上海市",0,8,1,0,1,1,0,1,1
