性别,出生年份,文化程度,省,市,县,婚姻状况,个人是否有经管类专业学习经历,家庭总人口,年龄超过65岁的人数,年龄小于16岁的成员人数,家庭其他成员的经管类专业学习经历,投资风险厌恶水平,金融知识题,金融知识1,金融知识题,金融知识2,金融知识题回答情况,参与金融市场,金融市场,买房的费用,风险资产,股票资产占比,金融资产,风险资产占比,房地产,购买基金的花费,基金,购买股票的花费,股票,持有的互联网理财产品金额,互联网理财,金融理财产品的总价值,金融理财,债券总市值,债券,金融衍生品的总市值,金融衍生品,黄金的总市值,黄金,非人民币资产的总市值,非人民币资产,是否工作,工作类型,工作体力负荷程度,日均工作时间,工作场所危害健康的因素,个人年收入,个人年收入的范围,家庭工作人数,家庭年收入的种类,家庭年收入的其他种类,家庭总收入金额,家庭总收入范围,家庭总支出的种类,家庭总支出的其他种类,家庭总支出的金额,家庭总支出的金额范围,债券,期货、期权等金融衍生品,黄金,外币资产,其他，请注明,都没有,机关事业单位退休金/离休金,城镇职工基本养老保险（城职保，一般按月缴纳）,新型农村社会养老保险（新农保，按年缴纳）,城镇居民社会养老保险（城居保，按年缴纳）,城乡统一居民社会养老保险（按年缴纳）,其他，请注明,都没有,养老保险,城镇职工基本医疗保险,城镇居民基本医疗保险,新型农村合作医疗保险,城乡居民基本医疗保险, 公费医疗,以上都没有,医疗保险,商业医疗保险,重大疾病保险,收入保障保险,长期看护保险,商业保险,幼儿园/学前班,小学,中学,大学及以上,教育投资,工资性收入,经营性收入,财产性收入,转移性收入,其他收入,日常消费支出,生产经营支出,投资性支出,教育支出,医疗支出,转移支出,其他支出
0,1958,2,上海市,市辖区,宝山区,1,1,2,0,0,2,4,2,1,3,1,2,1,1,5000,0,0,2,0,1,,0,,0,,0,100000,1,,0,,0,,0,,0,0,1,3,1,6,30000,,1,1,,100000,,1月5日,,100000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,0,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1949,2,上海市,市辖区,宝山区,1,1,2,2,0,2,2,,0,,0,0,1,2,300000,1,1,3,0.333333333,1,,0,50000,1,,0,50000,1,,0,,0,,0,,0,1,,,,,,,0,1,,96000,,1月5日,,50000,,0,0,0,0,0,0,,,,,,,,0,,,,,,,0,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1998,5,上海市,市辖区,杨浦区,0,1,3,0,0,2,3,2,1,3,1,2,0,0,100000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,6,120000,,2,1,,500000,,2001/4/5,,120000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,1,1,0,0
1,2000,6,上海市,市辖区,静安区,0,0,3,0,0,1,1,2,1,3,1,2,1,10,700000,9,0.111111111,11,0.818181818,1,25550,1,200000,1,100000,1,100000,1,1000000,1,1000000,1,130000,1,,0,1,,,,,,,2,1月3日,,2400000,,1-3-4-5,,1200000,,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0
0,1952,2,上海市,市辖区,虹口区,1,1,3,2,0,2,4,1,0,3,1,1,0,0,20000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,6,36000,,2,1,,240000,,1,,36000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,0,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1954,6,上海市,市辖区,静安区,1,1,1,1,0,2,4,3,0,3,1,1,1,1,,1,1,1,1,0,,0,20000,1,,0,,0,,0,,0,,0,,0,0,1,1,2,2,36000,,1,1,,36000,,1,,26000,,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1993,6,上海市,市辖区,宝山区,0,1,3,0,0,2,3,1,0,3,1,1,1,1,1000000,1,0,2,0.5,1,80000,1,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,6,60000,,3,1,,150000,,1月5日,,100000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1971,6,上海市,市辖区,徐汇区,0,1,1,0,0,2,3,2,1,3,1,2,1,1,5000000,1,0,2,0.5,1,,0,,0,35000,1,,0,,0,,0,,0,,0,0,1,1,3,3,300000,,1,1月3日,,300000,,1月3日,,200000,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,1,0,0,1,0,1,0,0,0,0
1,1981,6,上海市,市辖区,宝山区,1,1,2,0,1,2,2,1,0,3,1,1,1,2,800000,2,0.5,3,0.666666667,1,,0,500000,1,1000,1,,0,,0,,0,,0,,0,0,1,1,1,3,100000,,2,1,,200000,,1月4日,,100000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,1,0,0,0
1,1957,3,上海市,市辖区,宝山区,1,1,5,1,1,2,2,1,0,3,1,1,1,1,1000000,1,1,2,0.5,1,,0,200000,1,,0,,0,,0,,0,,0,,0,1,,,,,,,2,1月3日,,300000,,1-3-4-5,,150000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0
0,1951,2,上海市,市辖区,宝山区,1,1,2,2,0,2,0,2,1,3,1,2,1,1,120000,1,1,2,0.5,1,,0,300000,1,,0,,0,,0,,0,,0,,0,1,,,,,,,0,5,退休金,100000,,2001/3/5,,60000,,0,0,0,0,0,0,,,,,,,,0,0,1,0,0,0,0,1,,,,,0,,,,,0,0,0,0,0,1,1,0,1,0,1,0,0
0,2000,3,上海市,市辖区,宝山区,0,1,3,0,0,1,2,2,1,1,0,1,1,3,100000,2,0.5,4,0.5,1,,0,100000,1,100000,1,50000,1,,0,,0,,0,,0,1,,,,,,,2,1,,200000,,1-3-4-5-6,,80000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0
0,1999,6,上海市,市辖区,嘉定区,0,0,3,0,0,2,3,2,1,3,1,2,1,2,3400000,1,1,3,0.333333333,1,,0,50000,1,,0,100000,1,,0,,0,,0,,0,1,,,,,,,2,1月3日,,96000,,2001/4/5,,50000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
1,1968,2,上海市,市辖区,崇明区,1,1,3,0,0,2,4,,0,3,1,1,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,2,2,6,30000,,3,1,,80000,,1,,50000,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,0,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1992,6,上海市,市辖区,宝山区,1,1,2,0,0,2,2,1,0,3,1,1,1,2,3000000,1,0,3,0.333333333,1,,0,,0,550000,1,550000,1,,0,,0,,0,,0,0,1,1,1,6,65000,,2,1,,350000,,2001/3/5,,170000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,1,0,1,0,0
0,1971,3,上海市,市辖区,虹口区,1,1,3,0,0,2,4,3,0,3,1,1,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,3,1,1,6,500000,,3,1月2日,,550000,,1,,1000000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,,,,,0,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0
0,1980,6,上海市,市辖区,宝山区,1,1,4,3,1,2,2,3,0,3,1,1,1,1,800000,1,1,2,0.5,1,,0,150000,1,,0,,0,,0,,0,,0,,0,0,1,1,1,3,100000,,2,1,,150000,,1-3-4-5,,100000,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
1,1958,2,上海市,市辖区,崇明区,1,1,3,0,0,1,4,3,0,2,0,0,1,1,1500000,1,1,2,0.5,1,,0,50000,1,,0,,0,,0,,0,,0,,0,0,6,1,1,6,50000,,2,2001/2/3,,300000,,1-2-3-4,,100000,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0
1,1954,4,上海市,市辖区,嘉定区,1,1,2,2,0,2,0,3,0,3,1,1,1,3,400000,3,0.333333333,4,0.75,1,30000,1,1000000,1,500,1,,0,,0,,0,,0,,0,1,,,,,,,0,1月3日,,130000,,2001/3/5,,60000,,0,0,0,0,0,0,,,,,,,,0,,,,,,,0,,,,,0,,,,,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1978,2,上海市,市辖区,崇明区,1,1,3,0,0,1,3,3,0,3,1,1,1,3,400000,2,0.5,4,0.5,1,,0,200000,1,10000,1,200000,1,,0,,0,,0,,0,0,1,2,1,2001/2/4,40000,,2,1月3日,,200000,,1-3-4-5,,120000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0
1,1955,1,上海市,市辖区,嘉定区,1,1,5,2,1,2,4,1,0,3,1,1,0,0,1000000,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,,0,1,,,,,,,2,1,,,,2001/4/5,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,,,,,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,1972,5,上海市,市辖区,宝山区,1,1,3,0,0,1,2,2,1,3,1,2,1,1,420000,1,0,2,0.5,1,,0,,0,10000,1,,0,,0,,0,,0,,0,0,1,2,3,6,130000,,2,1,,250000,,2001/4/5,,100000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
0,1974,2,上海市,市辖区,嘉定区,1,1,3,0,0,2,3,2,1,3,1,2,1,1,1800000,1,0,2,0.5,1,,0,,0,30000,1,,0,,0,,0,,0,,0,0,1,1,1,6,120000,,2,1月3日,,250000,,1-3-4-5,,70000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0
0,1988,6,上海市,市辖区,虹口区,4,1,2,1,0,2,4,1,0,1,0,0,1,2,,1,0,2,0.5,0,,0,,0,100,1,10000,1,,0,,0,,0,,0,0,6,2,3,6,90000,,1,1,,100000,,1,,100000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1990,5,上海市,市辖区,宝山区,1,1,2,0,0,2,0,3,0,1,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,3,1,2,6,100000,,2,1月2日,,200000,,1-2-5-6,,250000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,1,0,0,0,1,1,0,0,1,1,0
1,1987,6,上海市,市辖区,嘉定区,1,0,5,0,1,1,3,3,0,3,1,1,1,2,4000000,1,0,3,0.333333333,1,150000,1,,0,,0,250000,1,,0,,0,,0,,0,0,1,1,1,6,,4,4,1月3日,,,7,1-3-4-5,,200000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,,,,,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0
1,1967,2,上海市,市辖区,杨浦区,1,1,3,0,0,1,4,,0,3,1,1,1,1,,1,0,1,1,0,,0,,0,40000,1,,0,,0,,0,,0,,0,0,7,3,2,6,30000,,1,2月4日,,50000,,2月4日,,30000,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
1,1960,3,上海市,市辖区,浦东新区,2,0,2,2,0,2,2,1,0,3,1,1,1,3,8000000,3,0.333333333,4,0.75,1,200000,1,100000,1,100000,1,,0,,0,,0,,0,,0,0,2,1,3,6,36000,,2,1月3日,,160000,,1,,100000,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,,,,,0,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0
0,1995,3,上海市,市辖区,杨浦区,0,1,3,0,0,1,1,3,0,3,1,1,1,1,,1,0,1,1,0,,0,,0,50000,1,,0,,0,,0,,0,,0,0,1,1,3,3,80000,,3,1月3日,,100000,,1,,150000,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,,,,,0,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0
0,1998,3,上海市,市辖区,虹口区,0,1,5,2,0,2,0,3,0,3,1,1,1,2,,1,0,2,0.5,0,,0,,0,100000,1,200000,1,,0,,0,,0,,0,0,1,1,4,3,100000,,3,1月2日,,300000,,1-2-3-5-6,,100000,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,,,,,0,,,,,0,1,1,0,0,0,1,1,1,0,1,1,0
1,1981,5,上海市,市辖区,嘉定区,0,0,4,2,1,2,2,1,0,3,1,1,0,0,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,6,,,3,1,,,,2001/4/5,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,1,0,0,1,1,0,0
1,1983,6,上海市,市辖区,嘉定区,1,1,5,0,1,2,2,1,0,3,1,1,1,1,,1,1,1,1,0,,0,150000,1,,0,,0,,0,,0,,0,,0,0,1,1,1,6,,4,2,1月3日,,,5,1-3-4-5,,,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0
