"","TSLA.Adjusted"
"1",NA
"2",-0.0102858001668693
"3",-0.00832456096057932
"4",0.00621044445082486
"5",0.0607546186022043
"6",-0.00811822115930827
"7",0.00332092039295073
"8",0.00936457268497826
"9",-0.00513214414745189
"10",0.01135633511407
"11",0.0206636670408358
"12",-0.00748847701643651
"13",0.0156929897811882
"14",0.00439006966893452
"15",0.00349262807983042
"16",-0.0197521449959197
"17",-0.0241405807755406
"18",0.0153127946148546
"19",0.0192963325597377
"20",-0.0106709433550796
"21",0.024253813206446
"22",-0.0143842666371921
"23",-0.0158733205235047
"24",-0.0313818598016047
"25",0.00251836443274733
"26",0.0324932634194361
"27",-0.0902418700503338
"28",-0.0153763277579877
"29",0.0169611987504306
"30",0.0248061950118892
"31",-0.00417982867784072
"32",0.0358368124492783
"33",0.00424155295141038
"34",-0.00214839097123232
"35",-0.00440071341728121
"36",0.0378869529987638
"37",0.0168432694567962
"38",0.0151383070825428
"39",-0.0181538703171089
"40",-0.0228523455590075
"41",-0.0359985316590867
"42",0.0125818791562438
"43",-0.00529574741326755
"44",-0.0155697956441907
"45",0.0124149968925256
"46",-0.00967650436460943
"47",-0.0058817730309304
"48",0.0545416600164774
"49",-0.0106788101059765
"50",-0.0455147622616101
"51",-0.00315829037007376
"52",-0.0131388550579636
"53",-0.0245400639268736
"54",-0.00964582610656439
"55",0.0190730887163317
"56",-0.0237531746840398
"57",-0.0247621883688467
"58",0.00871695423736263
"59",-0.0857628978315672
"60",-0.0797502091983864
"61",0.0318784407995922
"62",-0.0526529507258147
"63",0.0578997302195647
"64",0.0700414064002679
"65",0.063396532059274
"66",-0.021223235165218
"67",-0.0327386274532069
"68",0.0506198654709875
"69",-0.0124499734034176
"70",-0.0230258230069884
"71",0.0210633097282598
"72",-0.0308705093379498
"73",-0.0121611967971269
"74",0.019482924518039
"75",0.022682687828512
"76",-0.0333409221846361
"77",-0.0239547027187941
"78",0.000317573169954066
"79",-0.00982017986734629
"80",0.0169211341066422
"81",0.0296798815544461
"82",-0.000612316759392328
"83",0.0202762326864869
"84",0.00409269039096127
"85",-0.0570510058708553
"86",0.0333283863244676
"87",0.0290875979286298
"88",-0.00264576662183114
"89",0.0160313212903587
"90",-0.00598163152772724
"91",-0.0130677673644453
"92",-0.0306585392591128
"93",-0.027043251773768
"94",0.00806092052795648
"95",-0.00679488434816022
"96",-0.0275064194512451
"97",0.0273306466444376
"98",-0.0338906435277986
"99",0.0146551860322726
"100",-0.00438122876697911
"101",0.00359260310963272
"102",0.0174547900092792
"103",0.027665679550636
"104",-0.0242531271454638
"105",0.0245957943181621
"106",0.0167191949544714
"107",-0.0190863973635986
"108",0.0929873679574449
"109",-0.0107303377719843
"110",0.00495467680259853
"111",0.04445445412418
"112",0.0316235846239881
"113",0.00584686407355761
"114",0.0368439965317338
"115",0.00125723240439246
"116",0.0347359606628812
"117",-0.0505512520380211
"118",0.0270592775065701
"119",-0.0414583348552506
"120",-0.0407608626556035
"121",-0.00186009000964837
"122",0.0266382917864831
"123",0.00728335317891826
"124",0.0156390149995032
"125",-0.0201485288530021
"126",-0.0232451404069449
"127",-0.0749967990816822
"128",-0.00548370772763729
"129",-0.000841374673457906
"130",0.0306362879555238
"131",0.0123562834754445
"132",-0.0109444520959361
"133",-0.00707919019070058
"134",0.0067969519704576
"135",-0.0278886387464539
"136",0.0397973149266102
"137",0.00358825827817189
"138",-0.0112409429220479
"139",-0.0209849454568332
"140",-0.0336618736548528
"141",-0.0192137340954179
"142",0.0373206117665186
"143",-0.00679245026609188
"144",-0.0313690320294393
"145",-0.0238710745280937
"146",0.0270961831760674
"147",0.00901540403707735
"148",0.150039416086599
"149",-0.00392705210075661
"150",-0.0179093685939504
"151",0.104257505497048
"152",-0.0246175301162346
"153",-0.049512776263712
"154",0.0085883796053734
"155",0.00258460605440458
"156",-0.0249142639375837
"157",-0.0260822415972424
"158",-0.00961236558452594
"159",-0.093523108509066
"160",0.00957758908633455
"161",0.0427135567416794
"162",-0.000807937390501223
"163",-0.00479955420047773
"164",0.00846153869519473
"165",-0.0110577990317324
"166",-0.0234827385565133
"167",-0.0222098546601348
"168",-0.00611679755104966
"169",-0.00492717709616652
"170",-0.0430468918472391
"171",-0.028824723771713
"172",0.000747743465339568
"173",-0.0651105551676014
"174",0.08117584947595
"175",-0.0214543935712177
"176",0.038953694364829
"177",-0.00372421120103539
"178",0.0196360260016162
"179",-0.00122029030124882
"180",-0.0340839822750638
"181",0.0481616404193979
"182",-0.00231022114710377
"183",0.00257770927593448
"184",0.00193728974433949
"185",0.00436181944908398
"186",0.0281394653164053
"187",-0.00667638184559394
"188",-0.149678652591101
"189",0.159966294597272
"190",-0.0316511091922838
"191",-0.0208795477594936
"192",-0.0449930733338686
"193",-0.0731504432540455
"194",-0.0444552139641781
"195",0.0476948928338921
"196",-0.0227842753194132
"197",-0.0182676804719111
"198",0.0256369493642317
"199",0.00312514481637649
"200",0.0634328393388466
"201",-0.0175433862693426
"202",-0.0293847422165729
"203",-0.0149265238630174
"204",0.00364716791313535
"205",0.119727028544796
"206",-0.019360724194283
"207",0.0874329923073063
"208",0.0496881193410843
"209",0.0118664703605518
"210",-0.0148930615852603
"211",0.022242366535421
"212",0.0204233331121815
"213",0.00616769241388582
"214",-0.0145682200495836
"215",-0.000996410150349902
"216",0.0206038161079611
"217",0.00926295985182346
"218",-0.00253596758085983
"219",-0.0564252999849453
"220",0.0222394654241853
"221",0.0154383415954706
"222",0.0128244053713322
"223",0.0167061297920972
"224",-0.00237362003556196
"225",-0.0170627141046484
"226",-0.0271280342767177
"227",-0.0372320947644953
"228",0.0600629587450676
"229",-0.00602970313189122
"230",0.0114197750711744
"231",-0.0194479022077498
"232",0.0269227563351366
"233",0.0225970799812671
"234",0.00336964074946344
"235",0.0092977313597622
"236",-0.0141188979202873
"237",0.0198590024311178
"238",0.00439942790990333
"239",-0.000436306877413806
"240",0.0274166942062806
"241",-0.0298473873563267
"242",-0.0484320223445387
"243",-0.0332367024202087
"244",-0.0121194916260787
"245",-0.0542741648872918
"246",0.0138237107554753
"247",-0.0793054715389383
"248",0.0988769473574322
"249",-0.0310198945255333
"250",0.0545981725793441
"251",-0.00321004670624525
"252",-0.0705823917938
"253",-0.0319775485201834
"254",0.0560942944824223
"255",0.0529350438620062
"256",0.00116368561632552
"257",0.00943796694171173
"258",0.0188447707232662
"259",0.00661632190056682
