"","date","return","logret"
"128",20010705,-0.007789,-0.00781949270214198
"129",20010706,-0.049955,-0.0512459270883461
"130",20010709,-0.016714,-0.0168552550681564
"131",20010710,-0.026356,-0.0267095452322155
"132",20010711,0.018537,0.0183672839581152
"133",20010712,0.03274,0.0322154643623575
"134",20010713,0.011935,0.0118643395534754
"135",20010716,-0.006542,-0.00656349266997923
"136",20010717,0.006585,0.00656341359997612
"137",20010718,-0.03916,-0.0399473771095942
"138",20010719,-0.002685,-0.00268861107777763
"139",20010720,0.016346,0.0162138423630008
"140",20010723,0.001419,0.00141799417090195
"141",20010724,-0.012659,-0.0127398078290176
"142",20010725,0.003636,0.00362940573167246
"143",20010726,0.010583,0.0105273920440998
"144",20010727,-0.012264,-0.0123398234180137
"145",20010730,0.010984,0.0109241139981676
"146",20010731,-0.006046,-0.00606435106240321
"147",20010801,0.017584,0.0174311902096685
"148",20010802,0.016253,0.0161223339050464
"149",20010803,-0.005699,-0.00571530126393866
"150",20010806,-0.015437,-0.0155573910763017
"151",20010807,-0.002441,-0.00244398409761064
"152",20010808,-0.018071,-0.0182362746672071
"153",20010809,-0.001056,-0.00105655796083896
"154",20010810,0.008359,0.0083242570361882
"155",20010813,0.008671,0.00863362278928902
"156",20010814,0.003212,0.0032068525474664
"157",20010815,-0.011205,-0.0112682489257998
"158",20010816,0.007047,0.00702228593425236
"159",20010817,-0.010969,-0.0110296030579428
"160",20010820,-0.004685,-0.0046960090107684
"161",20010821,-0.02123,-0.0214585976585694
"162",20010822,0.020316,0.0201123832384226
"163",20010823,-0.009234,-0.00927689766021101
"164",20010824,0.038738,0.0380065147742216
"165",20010827,-0.001215,-0.00121573871091643
"166",20010828,-0.017874,-0.0180356692863388
"167",20010829,-0.007813,-0.0078436813981607
"168",20010830,-0.036205,-0.0368766625876598
"169",20010831,-0.004085,-0.0040933664047822
"170",20010904,0.015408,0.0152905021686255
"171",20010905,-0.011233,-0.0112965666220357
"172",20010906,-0.023418,-0.023696558816674
"173",20010907,-0.014388,-0.014492510952325
"174",20010910,-0.001242,-0.00124277192121693
"175",20010917,-0.032445,-0.0329830081487411
"176",20010918,0.032783,0.0322571003063836
"177",20010919,-0.004149,-0.00415763098206887
"178",20010920,-0.027083,-0.0274565036206783
"179",20010921,-0.031049,-0.031541235965414
"180",20010924,0.047514,0.0464197378799742
"181",20010925,-0.003692,-0.00369883225363772
"182",20010926,-0.033351,-0.0339198277047559
"183",20010927,-0.014239,-0.0143413472706842
"184",20010928,0.019111,0.0189306786319579
"185",20011001,0.010794,0.0107361606219221
"186",20011002,0.011433,0.0113681371718028
"187",20011003,0.033913,0.0333506332813406
"188",20011004,0.003713,0.00370612383105416
"189",20011005,0.007296,0.00726951294699866
"190",20011008,0.004897,0.00488504869664089
"191",20011009,-0.013807,-0.0139032031690358
"192",20011010,0.001132,0.00113135977111376
"193",20011011,0.022108,0.0218671613450588
"194",20011012,0.014487,0.0143830660074455
